pcfId	hierarchyId	name	description	differenceIndex	changeDetails	metricsAvailable	level	parent	children	category	industry
10002	1.0	Develop Vision and Strategy	Establishing a direction and vision for an organization. This involves defining the business concept and long-term vision, as well as developing the business strategy and managing strategic initiatives. Processes in this category focus on creating a vision, a mission, and strategic objectives, and culminate in creating measures to ensure that the organization is moving in the desired direction.	23	c10016	true	1			Operating Processes	cross-industry
17040	1.1	Define the business concept and long-term vision	Creating a conceptual framework of the organization's business activity and strategic vision with long-term applicability. Scout the organization's internal capabilities, as well as the customer's needs and desires, to identify a fit that can be used to advance a conceptual structure of the organization's business activity. Conduct analysis in light of relevant externalities and large-scale shifts in the market landscape.	6		false	2	1.0		Operating Processes	cross-industry
10017	1.1.1	Assess the external environment	Assessing all forces, entities, and systems that are external to an organization but can affect its operation. Analyze far-reaching currents in the macroeconomic situation, assess the competition, evaluate technological changes, and identify societal as well as ecological issues of concern. Create a big-picture understanding of externalities, with sufficient depth across individual aspects.	6	-16791, c10024, c10027, c16790, c21421, c10023	true	3	1.1		Operating Processes	cross-industry
19945	1.1.1.1	Identify competitors	Identifying your competitors, their service and/or product. Evaluating competitors strategies to determine their strengths and weaknesses relative to those of your own product or service.	0		false	4	1.1.1		Operating Processes	cross-industry
10021	1.1.1.2	Analyze and evaluate competition	Assessing the competitive forces in the marketplace that could potentially affect the organization. Analyze various aspects of business competition including competing firms. Aggregate competitive intelligence, create benchmarks to juxtapose processes and performance metrics, and inject crucial information about the competition into management models to synthesize insights.	0		false	4	1.1.1		Operating Processes	cross-industry
21421	1.1.1.3	Identify potential product or service alternatives	Examining if there are other existing products or services in the marketplace, and building the business case to make a go/no go decision based upon substitutions.	1	RENAME, WAS:Identify potential product or service substitutions	false	4	1.1.1		Operating Processes	cross-industry
10022	1.1.1.4	Identify economic trends	Determining large-scale macroeconomic shifts and trends, with medium to long-term relevance for the organization. Vet the immediate and the larger economic ecosystem to identify broad-based movements that affect the organization. In the immediate vicinity, for example, examine the stock price of key vendors/suppliers in the organizational value-chain. In the larger economic ecosystem, analyze according to geographical distribution where factors such as interest rates, taxation structures, oil prices, and unemployment rates are explored.	0		false	4	1.1.1		Operating Processes	cross-industry
10023	1.1.1.5	Identify political and regulatory factors	Identifying areas of concern pertaining to public policy and regulation, established by sovereign or multinational authorities. Examine various regions and geopolitical formations to identify those political and regulatory issues-present or developing-that can potentially affect the organization. Plan for an iterative process, partitioned across regional and geopolitical entities that have a direct bearing on the organization's activities. Assess changes in environmental compliance, product standards, trade barriers, etc.	1	RENAME, WAS:Identify political and regulatory issues	false	4	1.1.1		Operating Processes	cross-industry
10027	1.1.1.6	Identify environmental factors	Identifying changes in ecological ecosystems that can be directly or indirectly detrimental to the organization. Analyze ecological factors within the immediate ecosystem for near to middle-term impact. Analyze the ecology, at large, to get a sense of long-term shifts and concerns. Gather analyses from research publications. Speak to subject matter experts. Engage with advocacy groups, lawyers, journalists, and the active populations.	1	RENAME, WAS:Identify ecological concerns	false	4	1.1.1		Operating Processes	cross-industry
10026	1.1.1.7	Identify social and cultural changes	Distinguishing changes in societal makeup, as well as the cultural composite. Isolate shifts in the societal composition and distribution, as well as the value systems and attributes that bind the organization together. Analyze well-regarded publications--and gather the perspective of public intellectuals and opinion leaders--on relevant issues.	0		false	4	1.1.1		Operating Processes	cross-industry
10024	1.1.1.8	Assess new technologies	Assessing developments in technologies presently being used by the business, new technologies that have a potential for the business, and any disruptive innovations. Conduct a survey of advancement in technologies that are already deployed with inputs from the personnel closely working with them, tracking utility and feasibility for deployment. Arrange for mid- to senior-level management personnel who explore contingent uses to assess new and disruptive technologies. Follow up with desk research, involving physical scoping and viability assessment.	1	RENAME, WAS:Assess new technology innovations	false	4	1.1.1		Operating Processes	cross-industry
10025	1.1.1.9	Analyze demographics	Analyzing statistical data relating to the size, distribution, and composition of relevant populations, as well as their characteristics. Perform quantitative analysis over raw data-sets gathered from well-founded sources such as government census or large, private databases. Consider employing primary research in collecting required statistics. Use comprehensive studies (reports, briefs, and articles) to assist with the analysis, in place of raw data.	0		false	4	1.1.1		Operating Processes	cross-industry
16790	1.1.1.10	Evaluate intellectual property	Establishing measures and procedures for identifying various intellectual property threats and concerns.	1	RENAME, WAS:Identify intellectual property concerns	false	4	1.1.1		Operating Processes	cross-industry
10018	1.1.2	Survey market and determine customer needs and wants	Examining the market to identify customer required solutions. Assess the relevant market(s) to determine the products/services that are needed or wanted by customers. Carry out quantitative and qualitative analyses to capture and investigate products/services. Employ creative techniques that allow for a closer appreciation of the customer, and design relevant solutions.	0		true	3	1.1		Operating Processes	cross-industry
10028	1.1.2.1	Conduct qualitative/quantitative research and assessments	Investigating key market features and customer characteristics, using qualitative and quantitative measures to capture relevant aspects. Distill key ingredients that allow the organization to Capture customer needs and wants [19946], and Assess customer needs and wants [19947]. Conduct standardized appraisals by defining selection parameters and setting quotas.	0		false	4	1.1.2		Operating Processes	cross-industry
19946	1.1.2.2	Capture customer needs and wants	Identifying and collecting customers' wants and needs of a product and/or services from a marketing perspective. Identify which consumer needs are important and whether needs are being met by current products/services.	0		false	4	1.1.2		Operating Processes	cross-industry
19947	1.1.2.3	Assess customer needs and wants	Creating customer profiles to get a picture of customers and their needs. Identify particular groups of people/organizations that benefit from your product/services and then selling to them.	0		false	4	1.1.2		Operating Processes	cross-industry
10019	1.1.3	Assess the internal environment	Undertaking a review of the organization's in-house skills and resources in order to create a big-picture understanding of internal capacities. Assess the organization's capabilities in order to advance the advantageous and weed out the detrimental aspects. Identify synergic associations within the backdrop of the forces and players active in the market, and take into account all externalities.	0		false	3	1.1		Operating Processes	cross-industry
10030	1.1.3.1	Analyze organizational characteristics	Identifying and examining key attributes that differentiate the organization in the market and those that underscore the core of its operations. Consider how the organization functions. Reflect over tangible and intangible aspects in order to spot critical correlations and the interplay between these attributes. Have senior executives conduct the analysis, with input from management and operational personnel.	0		false	4	1.1.3		Operating Processes	cross-industry
19948	1.1.3.2	Analyze internal operations	Identify key elements of operations and measure effectiveness of these elements within internal operations.	0		false	4	1.1.3		Operating Processes	cross-industry
10031	1.1.3.3	Create baselines for current processes	Establishing baselines that provide standards for assessing performance levels and allow for a relational benchmarking of current processes. Undertake a survey of archival performance records, conducted in conjunction by the management and the operations personnel. Take into account the organization's internal objectives, particularly for process improvement and enhancement. Understand industry best practices.	0		false	4	1.1.3		Operating Processes	cross-industry
10032	1.1.3.4	Analyze systems and technology	Analyzing the capabilities of technology and process automation systems deployed within the organization in order to direct future associated processes. Conduct a broad-based survey to examine various aspects associated with such systems and technologies, with the objective of identifying key facets that are of interest. Investigate the intended purpose, purpose served, utility, longevity, remaining service-life, repair or service requirements, etc.	0		false	4	1.1.3		Operating Processes	cross-industry
10033	1.1.3.5	Analyze financial health	Appraising the financial state of the organization so that management can create resource allocation strategies. Scrutinize the organization's financials--including balance sheets, statements of income, cash-flows, equity holdings, and liquidity--with the objective of understanding the organization's financial health and capacities. (This analysis directly feeds into Conduct organizational restructuring opportunities [16792] and Define a business concept and long-term vision [17040].)	0		false	4	1.1.3		Operating Processes	cross-industry
10034	1.1.3.6	Identify core competencies	Determining a strategically significant aggregate of competence and capacities that differentiates the organization in the market. Identify distinguishing attributes including unique skills and resources and its brand and services in the marketplace. Have senior executives and management personnel assess competencies in order to further develop these capabilities into distinct commercial value propositions.	0		false	4	1.1.3		Operating Processes	cross-industry
