id	name	type	label	comment	subClassOf	supersededBy
schema:Clip	schema:Clip	rdfs:Class	Clip	A short TV or radio program or a segment/part of a program.	schema:CreativeWork	
schema:WatchAction	schema:WatchAction	rdfs:Class	WatchAction	The act of consuming dynamic/moving visual content.	schema:ConsumeAction	
schema:ExerciseGym	schema:ExerciseGym	rdfs:Class	ExerciseGym	A gym.	schema:SportsActivityLocation	
schema:MusicPlaylist	schema:MusicPlaylist	rdfs:Class	MusicPlaylist	A collection of music tracks in playlist form.	schema:CreativeWork	
schema:EmployeeRole	schema:EmployeeRole	rdfs:Class	EmployeeRole	A subclass of OrganizationRole used to describe employee relationships.	schema:OrganizationRole	
schema:RejectAction	schema:RejectAction	rdfs:Class	RejectAction	The act of rejecting to/adopting an object.\n\nRelated actions:\n\n* [[AcceptAction]]: The antonym of RejectAction.	schema:AllocateAction	
schema:EventVenue	schema:EventVenue	rdfs:Class	EventVenue	An event venue.	schema:CivicStructure	
schema:ScheduleAction	schema:ScheduleAction	rdfs:Class	ScheduleAction	Scheduling future actions, events, or tasks.\n\nRelated actions:\n\n* [[ReserveAction]]: Unlike ReserveAction, ScheduleAction allocates future actions (e.g. an event, a task, etc) towards a time slot / spatial allocation.	schema:PlanAction	
schema:MedicalCode	schema:MedicalCode	rdfs:Class	MedicalCode	A code for a medical entity.	schema:MedicalIntangible,schema:CategoryCode	
schema:Hotel	schema:Hotel	rdfs:Class	Hotel	A hotel is an establishment that provides lodging paid on a short-term basis (source: Wikipedia, the free encyclopedia, see http://en.wikipedia.org/wiki/Hotel). <br /><br /> See also the <a href="/docs/hotels.html">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>. 	schema:LodgingBusiness	
schema:PaymentMethod	schema:PaymentMethod	rdfs:Class	PaymentMethod	A payment method is a standardized procedure for transferring the monetary amount for a purchase. Payment methods are characterized by the legal and technical structures used, and by the organization or group carrying out the transaction. The following legacy values should be accepted:     \n\n* http://purl.org/goodrelations/v1#ByBankTransferInAdvance\n* http://purl.org/goodrelations/v1#ByInvoice\n* http://purl.org/goodrelations/v1#Cash\n* http://purl.org/goodrelations/v1#CheckInAdvance\n* http://purl.org/goodrelations/v1#COD\n* http://purl.org/goodrelations/v1#DirectDebit\n* http://purl.org/goodrelations/v1#GoogleCheckout\n* http://purl.org/goodrelations/v1#PayPal\n* http://purl.org/goodrelations/v1#PaySwarm\n\nStructured values are recommended for newer payment methods.	schema:Intangible	
schema:BodyOfWater	schema:BodyOfWater	rdfs:Class	BodyOfWater	A body of water, such as a sea, ocean, or lake.	schema:Landform	
schema:ProductCollection	schema:ProductCollection	rdfs:Class	ProductCollection	A set of products (either [[ProductGroup]]s or specific variants) that are listed together e.g. in an [[Offer]].	schema:Product,schema:Collection	
schema:OnDemandEvent	schema:OnDemandEvent	rdfs:Class	OnDemandEvent	A publication event, e.g. catch-up TV or radio podcast, during which a program is available on-demand.	schema:PublicationEvent	
schema:CollegeOrUniversity	schema:CollegeOrUniversity	rdfs:Class	CollegeOrUniversity	A college, university, or other third-level educational institution.	schema:EducationalOrganization	
schema:Service	schema:Service	rdfs:Class	Service	A service provided by an organization, e.g. delivery service, print services, etc.	schema:Intangible	
schema:TechArticle	schema:TechArticle	rdfs:Class	TechArticle	A technical article - Example: How-to (task) topics, step-by-step, procedural troubleshooting, specifications, etc.	schema:Article	
schema:TravelAgency	schema:TravelAgency	rdfs:Class	TravelAgency	A travel agency.	schema:LocalBusiness	
schema:WholesaleStore	schema:WholesaleStore	rdfs:Class	WholesaleStore	A wholesale store.	schema:Store	
schema:DoseSchedule	schema:DoseSchedule	rdfs:Class	DoseSchedule	A specific dosing schedule for a drug or supplement.	schema:MedicalIntangible	
schema:SocialMediaPosting	schema:SocialMediaPosting	rdfs:Class	SocialMediaPosting	A post to a social media platform, including blog posts, tweets, Facebook posts, etc.	schema:Article	
schema:LeaveAction	schema:LeaveAction	rdfs:Class	LeaveAction	An agent leaves an event / group with participants/friends at a location.\n\nRelated actions:\n\n* [[JoinAction]]: The antonym of LeaveAction.\n* [[UnRegisterAction]]: Unlike UnRegisterAction, LeaveAction implies leaving a group/team of people rather than a service.	schema:InteractAction	
schema:BuddhistTemple	schema:BuddhistTemple	rdfs:Class	BuddhistTemple	A Buddhist temple.	schema:PlaceOfWorship	
schema:Bridge	schema:Bridge	rdfs:Class	Bridge	A bridge.	schema:CivicStructure	
schema:Beach	schema:Beach	rdfs:Class	Beach	Beach.	schema:CivicStructure	
schema:ApplyAction	schema:ApplyAction	rdfs:Class	ApplyAction	The act of registering to an organization/service without the guarantee to receive it.\n\nRelated actions:\n\n* [[RegisterAction]]: Unlike RegisterAction, ApplyAction has no guarantees that the application will be accepted.	schema:OrganizeAction	
schema:ReturnLabelSourceEnumeration	schema:ReturnLabelSourceEnumeration	rdfs:Class	ReturnLabelSourceEnumeration	Enumerates several types of return labels for product returns.	schema:Enumeration	
schema:AutoPartsStore	schema:AutoPartsStore	rdfs:Class	AutoPartsStore	An auto parts store.	schema:Store,schema:AutomotiveBusiness	
schema:CDCPMDRecord	schema:CDCPMDRecord	rdfs:Class	CDCPMDRecord	A CDCPMDRecord is a data structure representing a record in a CDC tabular data format       used for hospital data reporting. See [documentation](/docs/cdc-covid.html) for details, and the linked CDC materials for authoritative       definitions used as the source here.       	schema:StructuredValue	
schema:AboutPage	schema:AboutPage	rdfs:Class	AboutPage	Web page type: About page.	schema:WebPage	
schema:SkiResort	schema:SkiResort	rdfs:Class	SkiResort	A ski resort.	schema:Resort,schema:SportsActivityLocation	
schema:HomeAndConstructionBusiness	schema:HomeAndConstructionBusiness	rdfs:Class	HomeAndConstructionBusiness	A construction business.\n\nA HomeAndConstructionBusiness is a [[LocalBusiness]] that provides services around homes and buildings.\n\nAs a [[LocalBusiness]] it can be described as a [[provider]] of one or more [[Service]]\(s).	schema:LocalBusiness	
