serviceUrl	serviceName	productUrl	productName	relationshipType	confidence	matchType
https://napcs.org.ai/Service/Crudeoil	crude oil	https://unspsc.org.ai/Product/CrudeOil	Crude oil	relatedTo	high	exact
https://napcs.org.ai/Service/Hardwood	hardwood	https://unspsc.org.ai/Product/Hardwoods	Hardwoods	relatedTo	high	partial
https://napcs.org.ai/Service/Ice	Ice	https://unspsc.org.ai/Product/Ice	Ice	relatedTo	high	exact
https://napcs.org.ai/Service/Barrels	barrels	https://unspsc.org.ai/Product/Barrels	Barrels	relatedTo	high	exact
https://napcs.org.ai/Service/Nicotine	nicotine	https://unspsc.org.ai/Product/Nicotine	Nicotine	relatedTo	high	exact
https://napcs.org.ai/Service/Femininehygieneproducts	Feminine hygiene products	https://unspsc.org.ai/Product/FeminineHygieneProducts	Feminine hygiene products	relatedTo	high	exact
https://napcs.org.ai/Service/Wallpaper	Wallpaper	https://unspsc.org.ai/Product/Wallpaper	Wallpaper	relatedTo	high	exact
https://napcs.org.ai/Service/Aircraft	aircraft	https://unspsc.org.ai/Product/Aircraft	Aircraft	relatedTo	high	exact
https://napcs.org.ai/Service/Matches	matches	https://unspsc.org.ai/Product/Matches	Matches	relatedTo	high	exact
https://napcs.org.ai/Service/Veterinaryexceptdiagnostic	veterinary (except diagnostic)	https://unspsc.org.ai/Product/Veterinary	Veterinary	relatedTo	high	exact
https://napcs.org.ai/Service/Cutting	cutting	https://unspsc.org.ai/Product/Cuttings	Cuttings	relatedTo	high	partial
https://napcs.org.ai/Service/Lenses	Lenses	https://unspsc.org.ai/Product/Lenses	Lenses	relatedTo	high	exact
https://napcs.org.ai/Service/Rollerbearings	roller bearings	https://unspsc.org.ai/Product/RollerBearings	Roller bearings	relatedTo	high	exact
https://napcs.org.ai/Service/Watertreatmentequipment	water treatment equipment	https://unspsc.org.ai/Product/WaterTreatmentEquipment	Water treatment equipment	relatedTo	high	exact
https://napcs.org.ai/Service/Packing	Packing	https://unspsc.org.ai/Product/Packings	Packings	relatedTo	high	partial
https://napcs.org.ai/Service/Powersaws	power saws	https://unspsc.org.ai/Product/PowerSaws	Power saws	relatedTo	high	exact
https://napcs.org.ai/Service/Compactpassengercars	compact passenger cars	https://unspsc.org.ai/Product/CompactPassengerCars	Compact passenger cars	relatedTo	high	exact
https://napcs.org.ai/Service/Midsizepassengercars	mid-size passenger cars	https://unspsc.org.ai/Product/MidsizePassengerCars	Mid-size passenger cars	relatedTo	high	exact
https://napcs.org.ai/Service/Fullsizepassengercars	full-size passenger cars	https://unspsc.org.ai/Product/FullsizePassengerCars	Full-size passenger cars	relatedTo	high	exact
https://napcs.org.ai/Service/Gasolineengine	gasoline engine	https://unspsc.org.ai/Product/GasolineEngines	Gasoline engines	relatedTo	high	partial
https://napcs.org.ai/Service/Dieselengine	diesel engine	https://unspsc.org.ai/Product/DieselEngines	Diesel engines	relatedTo	high	partial
https://napcs.org.ai/Service/Heavydutytrucks	heavy-duty trucks	https://unspsc.org.ai/Product/HeavydutyTrucks	Heavy-duty trucks	relatedTo	high	exact
https://napcs.org.ai/Service/Mediumdutytrucks	medium-duty trucks	https://unspsc.org.ai/Product/MediumdutyTrucks	Medium-duty trucks	relatedTo	high	exact
https://napcs.org.ai/Service/Dieselengines	Diesel engines	https://unspsc.org.ai/Product/DieselEngines	Diesel engines	relatedTo	high	exact
https://napcs.org.ai/Service/Motorvehicleseats	motor vehicle seats	https://unspsc.org.ai/Product/MotorVehicleSeats	Motor vehicle seats	relatedTo	high	exact
https://napcs.org.ai/Service/Motorvehicleairconditioningsystemsexceptcompressorsandfilters	motor vehicle air-conditioning systems (except compressors and filters)	https://unspsc.org.ai/Product/MotorVehicleAirconditioningSystems	Motor vehicle air-conditioning systems	relatedTo	high	exact
https://napcs.org.ai/Service/Bicycles	Bicycles	https://unspsc.org.ai/Product/Bicycles	Bicycles	relatedTo	high	exact
https://napcs.org.ai/Service/Militaryarmouredvehicles	military armoured vehicles	https://unspsc.org.ai/Product/MilitaryArmouredVehicles	Military armoured vehicles	relatedTo	high	exact
https://napcs.org.ai/Service/Prefabricatedwoodbuildings	prefabricated wood buildings	https://unspsc.org.ai/Product/PrefabricatedWoodBuildings	Prefabricated wood buildings	relatedTo	high	exact
https://napcs.org.ai/Service/Batterychargers	Battery chargers	https://unspsc.org.ai/Product/BatteryChargers	Battery chargers	relatedTo	high	exact
https://napcs.org.ai/Service/Golfequipment	Golf equipment	https://unspsc.org.ai/Product/GolfEquipment	Golf equipment	relatedTo	high	exact
https://napcs.org.ai/Service/Transportationofcrudeoil	Transportation of crude oil	https://unspsc.org.ai/Product/CrudeOil	Crude oil	transports	high	exact
https://napcs.org.ai/Service/Rentaloffreightrailcars	Rental of freight rail cars	https://unspsc.org.ai/Product/FreightRailCars	Freight rail cars	rents	high	exact
https://napcs.org.ai/Service/Leasingoffreightrailcars	leasing of freight rail cars	https://unspsc.org.ai/Product/FreightRailCars	Freight rail cars	rents	high	exact
https://napcs.org.ai/Service/Coastalservicesbywater	Coastal services by water	https://unspsc.org.ai/Product/Water	Water	relatedTo	high	exact
https://napcs.org.ai/Service/GreatLakesfixedroutepassengertransportationservicesbywater	Great Lakes fixed route passenger transportation services by water	https://unspsc.org.ai/Product/Water	Water	relatedTo	high	exact
https://napcs.org.ai/Service/Otherpassengertransportationservicesbywater	Other passenger transportation services by water	https://unspsc.org.ai/Product/Water	Water	relatedTo	high	exact
https://napcs.org.ai/Service/Sightseeingservicesbywater	Sightseeing services by water	https://unspsc.org.ai/Product/Water	Water	relatedTo	high	exact
https://napcs.org.ai/Service/Maintenanceservicesforrailwaytracks	Maintenance services for railway tracks	https://unspsc.org.ai/Product/RailwayTracks	Railway tracks	maintains	high	exact
https://napcs.org.ai/Service/Repairservicesforrailwaytracks	repair services for railway tracks	https://unspsc.org.ai/Product/RailwayTracks	Railway tracks	maintains	high	exact
https://napcs.org.ai/Service/Relatedservicesforrailwaytracks	related services for railway tracks	https://unspsc.org.ai/Product/RailwayTracks	Railway tracks	relatedTo	high	exact
https://napcs.org.ai/Service/Restaurants	restaurants	https://unspsc.org.ai/Product/Restaurants	Restaurants	relatedTo	high	exact
https://napcs.org.ai/Service/Maintenanceservicesforcommercialrefrigerationequipmentexceptcleaning	Maintenance services for commercial refrigeration equipment (except cleaning)	https://unspsc.org.ai/Product/CommercialRefrigerationEquipment	Commercial refrigeration equipment	maintains	high	exact
https://napcs.org.ai/Service/Repairservicesforcommercialrefrigerationequipmentexceptcleaning	repair services for commercial refrigeration equipment (except cleaning)	https://unspsc.org.ai/Product/CommercialRefrigerationEquipment	Commercial refrigeration equipment	maintains	high	exact
https://napcs.org.ai/Service/Licensingoffranchisingagreements	Licensing of franchising agreements	https://unspsc.org.ai/Product/FranchisingAgreements	Franchising agreements	relatedTo	high	exact
https://napcs.org.ai/Service/Radio	radio	https://unspsc.org.ai/Product/Radios	Radios	relatedTo	high	partial
https://napcs.org.ai/Service/Television	television	https://unspsc.org.ai/Product/Televisions	Televisions	relatedTo	high	partial
https://napcs.org.ai/Service/Feesforthedistributionoftelevision	Fees for the distribution of television	https://unspsc.org.ai/Product/Televisions	Televisions	relatedTo	high	partial
https://napcs.org.ai/Service/Unsecuredloans	Unsecured loans	https://unspsc.org.ai/Product/UnsecuredLoan	Unsecured loan	relatedTo	high	partial
https://napcs.org.ai/Service/Architecturalservicesforhotel	Architectural services for hotel	https://unspsc.org.ai/Product/Hotels	Hotels	relatedTo	high	partial
https://napcs.org.ai/Service/Consultingservicesformapping	Consulting services for mapping	https://unspsc.org.ai/Product/Mapping	Mapping	relatedTo	high	exact
https://napcs.org.ai/Service/Expertwitnessservicesformapping	expert-witness services for mapping	https://unspsc.org.ai/Product/Mapping	Mapping	relatedTo	high	exact
https://napcs.org.ai/Service/Permanentplacement	permanent placement	https://unspsc.org.ai/Product/PermanentPlacement	Permanent placement	relatedTo	high	exact
https://napcs.org.ai/Service/Temporarystaffing	Temporary staffing	https://unspsc.org.ai/Product/TemporaryStaffing	Temporary staffing	relatedTo	high	exact
https://napcs.org.ai/Service/Landscapingservicesservicesforparkinglots	Landscaping services services for parking lots	https://unspsc.org.ai/Product/ParkingLots	Parking lots	relatedTo	high	exact
https://napcs.org.ai/Service/Snowremovalservicesforparkinglots	snow removal services for parking lots	https://unspsc.org.ai/Product/ParkingLots	Parking lots	installs	high	exact
https://napcs.org.ai/Service/Water	water	https://unspsc.org.ai/Product/Water	Water	relatedTo	high	exact
https://napcs.org.ai/Service/Irrigationsystems	irrigation systems	https://unspsc.org.ai/Product/IrrigationSystems	Irrigation Systems	relatedTo	high	exact
https://napcs.org.ai/Service/Museumsexceptartmuseums	museums (except art museums)	https://unspsc.org.ai/Product/Museums	Museums	relatedTo	high	exact
https://napcs.org.ai/Service/Reservationservicesforvehiclerental	Reservation services for vehicle rental	https://unspsc.org.ai/Product/VehicleRental	Vehicle rental	relatedTo	high	exact
https://napcs.org.ai/Service/Reservationservicesforprepackagedtours	Reservation services for pre-packaged tours	https://unspsc.org.ai/Product/PrepackagedTours	Pre-packaged tours	relatedTo	high	exact
https://napcs.org.ai/Service/Technicalconsultantservicesforclaimmanagement	Technical consultant services for claim management	https://unspsc.org.ai/Product/ClaimManagement	Claim management	relatedTo	high	exact
https://napcs.org.ai/Service/Constructionofprimates	Construction of primates	https://unspsc.org.ai/Product/Primates	Primates	relatedTo	high	exact
https://napcs.org.ai/Service/Zinc	Zinc	https://unspsc.org.ai/Product/Zinc	Zinc	relatedTo	high	exact
https://napcs.org.ai/Service/Cleaningservicesforparks	Cleaning services for parks	https://unspsc.org.ai/Product/Park	Park	relatedTo	high	partial
https://napcs.org.ai/Service/Fluorescentlamps	fluorescent lamps	https://unspsc.org.ai/Product/FluorescentLamps	Fluorescent lamps	relatedTo	high	exact
https://napcs.org.ai/Service/Lampballasts	lamp ballasts	https://unspsc.org.ai/Product/LampBallasts	Lamp ballasts	relatedTo	high	exact
https://napcs.org.ai/Service/Microbiologicaltestingofsoil	Microbiological testing of soil	https://unspsc.org.ai/Product/Soil	Soil	relatedTo	high	exact
https://napcs.org.ai/Service/Metalstestingofsoil	Metals testing of soil	https://unspsc.org.ai/Product/Soil	Soil	relatedTo	high	exact
https://napcs.org.ai/Service/Inorganicstestingofsoil	Inorganics testing of soil	https://unspsc.org.ai/Product/Soil	Soil	relatedTo	high	exact
https://napcs.org.ai/Service/Semivolatileorganicstestingofsoil	Semi-volatile organics testing of soil	https://unspsc.org.ai/Product/Soil	Soil	relatedTo	high	exact
https://napcs.org.ai/Service/Volatileorganicstestingofsoil	Volatile organics testing of soil	https://unspsc.org.ai/Product/Soil	Soil	relatedTo	high	exact
https://napcs.org.ai/Service/Tankers	tankers	https://unspsc.org.ai/Product/Tankers	Tankers	relatedTo	high	exact
https://napcs.org.ai/Service/Vehicleleasingofstationwagons	Vehicle leasing of station wagons	https://unspsc.org.ai/Product/StationWagons	Station wagons	rents	high	exact
https://napcs.org.ai/Service/Ambulance	ambulance	https://unspsc.org.ai/Product/Ambulances	Ambulances	relatedTo	high	partial
