codeId	techId
Javascript	Javascript
Javascript	JavascriptFrameworkSoftware
Javascript	JavascriptObjectNotationJson
Python	Python
Python	PythonExperimentalEconomicsToolkitPeet
Python	PythonToolsForVisualStudio
Java	EnterpriseJavabeans
Java	JavaminComposer
Java	Javascript
Java	JavascriptFrameworkSoftware
Java	JavascriptObjectNotationJson
Java	OracleJava
Java	OracleJava2PlatformEnterpriseEditionJ2ee
Java	OracleJavaEnterpriseEditionEe
Java	OracleJavaMessageServiceJms
Java	OracleJavaserverPagesJsp
Java	SunMicrosystemsJava
Java	SunMicrosystemsJavaPersistenceApi
Java	SunMicrosystemsJavaServletApi
Java	Xerces2JavaParser
Java	YourkitJavaProfiler
Typescript	Typescript
Ruby	Ruby
Ruby	RubyOnRails
Php	GraphpadSoftwareGraphpadPrism
Php	HypertextPreprocessorPhp
Php	IntergraphPlantDesignSystemPds
Php	JetbrainsPhpstorm
Php	Php
Go	AdvancedGraphicsTechnologyProcogo
Go	AlgolabRasterToVectorConversionToolkit
Go	AlgorithmCompuCeph
Go	AlgorithmicLanguageAlgol
Go	AlgorithmicSoftware
Go	AngossKnowledgeseeker
Go	ArgosSoftwareAbecasInsight
Go	ArgosSoftwareAbecasInsightFms
Go	ArgosSoftwareAbecasInsightWms
Go	ArgosyLegalSystemsPowerCloser
Go	AtxTotalAccountingOffice
Go	AutodeskAlgorSimulation
Go	BerkeleyAlgorithmForBreakingWindowGlassInCompartmentFireBreak1
Go	BrainmetricCategoryTest
Go	CalculatingOptimumMaintenanceParametersCompare
Go	CargoTrackingSystemSoftware
Go	CargowiseEdienterprise
Go	CaTechnologiesCaClarityPpmForItGovernance
Go	CategoryFluencyTest
Go	ChordwizardSoftwareSoundtrixGold
Go	CmtCogocad
Go	CmtIncorporatedCogocad
Go	CompugovDocketview
Go	CoordinateGeometryCogoSoftware
Go	CortexMedicalManagementSystemsGoldStandard
Go	Django
Go	FengOfficeCollaborationPlatform
Go	ForesoftCdsCogo
Go	Gavel&GownSoftwareAmicusAttorney
Go	GeneticAlgorithmOptimizationSoftware
Go	GeneticAlgorithmSoftware
Go	Go
Go	Go2cam
Go	Gobackgrounds
Go	GoldenHelixChemtree
Go	GoldenHelixHelixtree
Go	GoldenSoftwareGrapher
Go	GoldenSoftwareStrater
Go	GoldenSoftwareSurfer
Go	GoldenSoftwareVoxler
Go	Goodreader
Go	GoodStewardSoftwareEnergycap
Go	Google
Go	GoogleAds
Go	GoogleAnalytics
Go	GoogleAndroid
Go	GoogleAngular
Go	GoogleBooksNgramViewer
Go	GoogleCalendar
Go	GoogleCheckout
Go	GoogleChrome
Go	GoogleClassroom
Go	GoogleCloudSoftware
Go	GoogleComputeEngine
Go	GoogleDocs
Go	GoogleDoubleclick
Go	GoogleDrive
Go	GoogleEarthPro
Go	GoogleGmail
Go	GoogleLookerAnalytics
Go	GoogleMeet
Go	GoogleScholar
Go	GoogleSearchAds
Go	GoogleSheets
Go	GoogleSites
Go	GoogleSlides
Go	GoogleTagManager
Go	GoogleTranslateClient
Go	GoogleVideo
Go	GoogleWebmasterTools
Go	GoogleWorkspaceSoftware
Go	GoqWordq
Go	GordianGroupProgenOnline
Go	GovernanceRisk
Go	GovernSoftwareGovmap
Go	GovernSoftwareLand
Go	HeatSoftwareGoldmine
Go	HexagonGeospatialImaginePhotogrammetry
Go	HexagonIntergraph
Go	HexagonMetrologyPcDmis
Go	IlogOplCplexDevelopmentSystem
Go	ImagingOptiviewEcm
Go	IndigoRenderer
