ns	type	id	name	description	code
onet.org.ai	WorkActivity	GettingInformation	Getting Information	Getting Information	4.A.1.a.1
onet.org.ai	WorkActivity	Monitoring_Processes_Materials_Or_Surroundings	Monitoring Processes, Materials, or Surroundings	Monitoring Processes, Materials, or Surroundings	4.A.1.a.2
onet.org.ai	WorkActivity	Identifying_Objects_Actions_And_Events	Identifying Objects, Actions, and Events	Identifying Objects, Actions, and Events	4.A.1.b.1
onet.org.ai	WorkActivity	Inspecting_Equipment_Structures_Or_Materials	Inspecting Equipment, Structures, or Materials	Inspecting Equipment, Structures, or Materials	4.A.1.b.2
onet.org.ai	WorkActivity	Estimating_The_Quantifiable_Characteristics_Of_Products_Events_Or_Information	Estimating the Quantifiable Characteristics of Products, Events, or Information	Estimating the Quantifiable Characteristics of Products, Events, or Information	4.A.1.b.3
onet.org.ai	WorkActivity	Judging_The_Qualities_Of_Objects_Services_Or_People	Judging the Qualities of Objects, Services, or People	Judging the Qualities of Objects, Services, or People	4.A.2.a.1
onet.org.ai	WorkActivity	ProcessingInformation	Processing Information	Processing Information	4.A.2.a.2
onet.org.ai	WorkActivity	Evaluating_Information_To_Determine_Compliance_With_Standards	Evaluating Information to Determine Compliance with Standards	Evaluating Information to Determine Compliance with Standards	4.A.2.a.3
onet.org.ai	WorkActivity	Analyzing_Data_Or_Information	Analyzing Data or Information	Analyzing Data or Information	4.A.2.a.4
onet.org.ai	WorkActivity	Making_Decisions_And_Solving_Problems	Making Decisions and Solving Problems	Making Decisions and Solving Problems	4.A.2.b.1
onet.org.ai	WorkActivity	ThinkingCreatively	Thinking Creatively	Thinking Creatively	4.A.2.b.2
onet.org.ai	WorkActivity	Updating_And_Using_Relevant_Knowledge	Updating and Using Relevant Knowledge	Updating and Using Relevant Knowledge	4.A.2.b.3
onet.org.ai	WorkActivity	Developing_Objectives_And_Strategies	Developing Objectives and Strategies	Developing Objectives and Strategies	4.A.2.b.4
onet.org.ai	WorkActivity	Scheduling_Work_And_Activities	Scheduling Work and Activities	Scheduling Work and Activities	4.A.2.b.5
onet.org.ai	WorkActivity	Organizing_Planning_And_Prioritizing_Work	Organizing, Planning, and Prioritizing Work	Organizing, Planning, and Prioritizing Work	4.A.2.b.6
onet.org.ai	WorkActivity	Performing_General_Physical_Activities	Performing General Physical Activities	Performing General Physical Activities	4.A.3.a.1
onet.org.ai	WorkActivity	Handling_And_Moving_Objects	Handling and Moving Objects	Handling and Moving Objects	4.A.3.a.2
onet.org.ai	WorkActivity	Controlling_Machines_And_Processes	Controlling Machines and Processes	Controlling Machines and Processes	4.A.3.a.3
