url	ns	type	id	code	name	description	category	case	usage	digital
https://language.org.ai/Pronoun/I	language.org.ai	Pronoun	I	i	I	first person singular	Personal	Subjective	I analyze	
https://language.org.ai/Pronoun/Me	language.org.ai	Pronoun	Me	me	Me	first person singular	Personal	Objective	help me	
https://language.org.ai/Pronoun/My	language.org.ai	Pronoun	My	my	My	first person singular possessive	Personal	Possessive	my task	
https://language.org.ai/Pronoun/Mine	language.org.ai	Pronoun	Mine	mine	Mine	first person singular possessive	Personal	Possessive	task is mine	
https://language.org.ai/Pronoun/Myself	language.org.ai	Pronoun	Myself	myself	Myself	first person singular reflexive	Personal	Reflexive	I did it myself	
https://language.org.ai/Pronoun/We	language.org.ai	Pronoun	We	we	We	first person plural	Personal	Subjective	we analyze	
https://language.org.ai/Pronoun/Us	language.org.ai	Pronoun	Us	us	Us	first person plural	Personal	Objective	help us	
https://language.org.ai/Pronoun/Our	language.org.ai	Pronoun	Our	our	Our	first person plural possessive	Personal	Possessive	our task	
https://language.org.ai/Pronoun/Ours	language.org.ai	Pronoun	Ours	ours	Ours	first person plural possessive	Personal	Possessive	task is ours	
https://language.org.ai/Pronoun/Ourselves	language.org.ai	Pronoun	Ourselves	ourselves	Ourselves	first person plural reflexive	Personal	Reflexive	we did it ourselves	
https://language.org.ai/Pronoun/You	language.org.ai	Pronoun	You	you	You	second person	Personal	Subjective/Objective	you analyze	
https://language.org.ai/Pronoun/Your	language.org.ai	Pronoun	Your	your	Your	second person possessive	Personal	Possessive	your task	
https://language.org.ai/Pronoun/Yours	language.org.ai	Pronoun	Yours	yours	Yours	second person possessive	Personal	Possessive	task is yours	
https://language.org.ai/Pronoun/Yourself	language.org.ai	Pronoun	Yourself	yourself	Yourself	second person singular reflexive	Personal	Reflexive	you did it yourself	
https://language.org.ai/Pronoun/Yourselves	language.org.ai	Pronoun	Yourselves	yourselves	Yourselves	second person plural reflexive	Personal	Reflexive	you all did it yourselves	
https://language.org.ai/Pronoun/He	language.org.ai	Pronoun	He	he	He	third person singular masculine	Personal	Subjective	he analyzes	
https://language.org.ai/Pronoun/Him	language.org.ai	Pronoun	Him	him	Him	third person singular masculine	Personal	Objective	help him	
https://language.org.ai/Pronoun/His	language.org.ai	Pronoun	His	his	His	third person singular masculine possessive	Personal	Possessive	his task	
https://language.org.ai/Pronoun/Himself	language.org.ai	Pronoun	Himself	himself	Himself	third person singular masculine reflexive	Personal	Reflexive	he did it himself	
https://language.org.ai/Pronoun/She	language.org.ai	Pronoun	She	she	She	third person singular feminine	Personal	Subjective	she analyzes	
https://language.org.ai/Pronoun/Her	language.org.ai	Pronoun	Her	her	Her	third person singular feminine	Personal	Objective/Possessive	help her / her task	
https://language.org.ai/Pronoun/Hers	language.org.ai	Pronoun	Hers	hers	Hers	third person singular feminine possessive	Personal	Possessive	task is hers	
https://language.org.ai/Pronoun/Herself	language.org.ai	Pronoun	Herself	herself	Herself	third person singular feminine reflexive	Personal	Reflexive	she did it herself	
https://language.org.ai/Pronoun/It	language.org.ai	Pronoun	It	it	It	third person singular neuter	Personal	Subjective/Objective	it works	
https://language.org.ai/Pronoun/Its	language.org.ai	Pronoun	Its	its	Its	third person singular neuter possessive	Personal	Possessive	its purpose	
https://language.org.ai/Pronoun/Itself	language.org.ai	Pronoun	Itself	itself	Itself	third person singular neuter reflexive	Personal	Reflexive	it did it itself	
https://language.org.ai/Pronoun/They	language.org.ai	Pronoun	They	they	They	third person plural	Personal	Subjective	they analyze	
https://language.org.ai/Pronoun/Them	language.org.ai	Pronoun	Them	them	Them	third person plural	Personal	Objective	help them	
