url	ns	type	id	code	name	description	commodityCode	commodityTitle	hotTechnology	inDemand	digital
https://onet.org.ai/Technology/!trakitsolutions!trakithr	onet.org.ai	Technology	!trakitsolutions!trakithr	trak-it-solutions-trak-it-hr	!Trak-it Solutions !Trak-it HR		43231505	Human resources software	N	N	1.00
https://onet.org.ai/Technology/@roadgeomanager	onet.org.ai	Technology	@roadgeomanager	road-geomanager	@Road GeoManager		43231506	Materials requirements planning logistics and supply chain software	N	N	1.00
https://onet.org.ai/Technology/100plushatchpatternlibrary	onet.org.ai	Technology	100plushatchpatternlibrary	100-plus-hatch-pattern-library	100 Plus Hatch Pattern Library		43232101	Pattern design software	N	N	1.00
https://onet.org.ai/Technology/1003uniformresidentialloanapplication	onet.org.ai	Technology	1003uniformresidentialloanapplication	1003-uniform-residential-loan-application	1003 Uniform Residential Loan Application		43231604	Financial analysis software	N	N	1.00
https://onet.org.ai/Technology/1099prossoftware	onet.org.ai	Technology	1099prossoftware	1099-prossoftware	1099 ProsSoftware		43231603	Tax preparation software	N	N	1.00
https://onet.org.ai/Technology/1cadcamunigraphics	onet.org.ai	Technology	1cadcamunigraphics	1cadcam-unigraphics	1CadCam Unigraphics		43232612	Computer aided manufacturing CAM software	N	N	1.00
https://onet.org.ai/Technology/1stpricingwindowanddoortoolkit	onet.org.ai	Technology	1stpricingwindowanddoortoolkit	1st-pricing-window-door-toolkit	1ST Pricing Window & Door Toolkit		43231503	Procurement software	N	N	1.00
https://onet.org.ai/Technology/2020technologies2020design	onet.org.ai	Technology	2020technologies2020design	20-20-technologies-20-20-design	20-20 Technologies 20-20 Design		43232604	Computer aided design CAD software	N	N	1.00
https://onet.org.ai/Technology/24sevenofficeproject	onet.org.ai	Technology	24sevenofficeproject	24sevenoffice-project	24SevenOffice Project		43231507	Project management software	N	N	1.00
https://onet.org.ai/Technology/2abilocksecurityservices	onet.org.ai	Technology	2abilocksecurityservices	2ab-ilock-security-services	2AB iLock Security Services		43232901	Access software	N	N	1.00
