url	ns	type	id	code	name	description	cip_code	career_clusters	subclusters	soc_count
https://education.org.ai/AgricultureGeneral	education.org.ai	Education	AgricultureGeneral	agriculture-general	Agriculture, General.	Agriculture, General.	01.0000	agriculture,education,energy-natural-resources	agriculture/animal-systems,agriculture/food-science-processing,agriculture/plant-systems,education/teaching-training-facilitation,energy-natural-resources/ecological-research-development	5
https://education.org.ai/AgriculturalbusinessandmanagementGeneral	education.org.ai	Education	AgriculturalbusinessandmanagementGeneral	agricultural-business-and-management-general	Agricultural Business and Management, General.	Agricultural Business and Management, General.	01.0101	agriculture,education	agriculture/agribusiness,education/teaching-training-facilitation	3
https://education.org.ai/AgribusinessAgriculturalBusinessOperations	education.org.ai	Education	AgribusinessAgriculturalBusinessOperations	agribusinessagricultural-business-operations	Agribusiness/Agricultural Business Operations.	Agribusiness/Agricultural Business Operations.	01.0102	agriculture,education	agriculture/agribusiness,education/teaching-training-facilitation	2
https://education.org.ai/AgriculturalEconomics	education.org.ai	Education	AgriculturalEconomics	agricultural-economics	Agricultural Economics.	Agricultural Economics.	01.0103	agriculture,education,management-entrepreneurship	agriculture/agribusiness,education/teaching-training-facilitation,management-entrepreneurship/business-information-management	3
https://education.org.ai/FarmFarmAndRanchManagement	education.org.ai	Education	FarmFarmAndRanchManagement	farmfarm-and-ranch-management	Farm/Farm and Ranch Management.	Farm/Farm and Ranch Management.	01.0104	agriculture,education	agriculture/agribusiness,education/teaching-training-facilitation	4
https://education.org.ai/AgriculturalFarmSuppliesRetailingAndWholesaling	education.org.ai	Education	AgriculturalFarmSuppliesRetailingAndWholesaling	agriculturalfarm-supplies-retailing-and-wholesaling	Agricultural/Farm Supplies Retailing and Wholesaling.	Agricultural/Farm Supplies Retailing and Wholesaling.	01.0105	education,marketing-sales,supply-chain-transportation	education/teaching-training-facilitation,marketing-sales/strategic-sales,supply-chain-transportation/purchasing-warehousing	3
https://education.org.ai/AgriculturalBusinessTechnologyTechnician	education.org.ai	Education	AgriculturalBusinessTechnologyTechnician	agricultural-business-technologytechnician	Agricultural Business Technology/Technician.	Agricultural Business Technology/Technician.	01.0106	digital-technology,management-entrepreneurship	digital-technology/it-support-services,management-entrepreneurship/leadership-operations	2
https://education.org.ai/AgriculturalbusinessandmanagementOther	education.org.ai	Education	AgriculturalbusinessandmanagementOther	agricultural-business-and-management-other	Agricultural Business and Management, Other.	Agricultural Business and Management, Other.	01.0199	agriculture,education	agriculture/agribusiness,education/teaching-training-facilitation	3
https://education.org.ai/AgriculturalmechanizationGeneral	education.org.ai	Education	AgriculturalmechanizationGeneral	agricultural-mechanization-general	Agricultural Mechanization, General.	Agricultural Mechanization, General.	01.0201	agriculture,education	agriculture/agricultural-technology-automation,education/teaching-training-facilitation	2
https://education.org.ai/AgriculturalPowerMachineryOperation	education.org.ai	Education	AgriculturalPowerMachineryOperation	agricultural-power-machinery-operation	Agricultural Power Machinery Operation.	Agricultural Power Machinery Operation.	01.0204	agriculture,education	agriculture/agricultural-technology-automation,education/teaching-training-facilitation	3
https://education.org.ai/AgriculturalMechanicsAndEquipmentMachineTechnologyTechnician	education.org.ai	Education	AgriculturalMechanicsAndEquipmentMachineTechnologyTechnician	agricultural-mechanics-and-equipmentmachine-technologytechnician	Agricultural Mechanics and Equipment/Machine Technology/Technician.	Agricultural Mechanics and Equipment/Machine Technology/Technician.	01.0205	advanced-manufacturing,agriculture,construction,supply-chain-transportation	advanced-manufacturing/industrial-machinery,agriculture/agricultural-technology-automation,construction/equipment-operation-maintenance,supply-chain-transportation/maintenance-repair	3
https://education.org.ai/IrrigationManagementTechnologyTechnician	education.org.ai	Education	IrrigationManagementTechnologyTechnician	irrigation-management-technologytechnician	Irrigation Management Technology/Technician.	Irrigation Management Technology/Technician.	01.0207	agriculture,education	agriculture/water-systems,education/teaching-training-facilitation	2
https://education.org.ai/AgriculturalmechanizationOther	education.org.ai	Education	AgriculturalmechanizationOther	agricultural-mechanization-other	Agricultural Mechanization, Other.	Agricultural Mechanization, Other.	01.0299	agriculture,education	agriculture/agricultural-technology-automation,education/teaching-training-facilitation	2
https://education.org.ai/AgriculturalproductionoperationsGeneral	education.org.ai	Education	AgriculturalproductionoperationsGeneral	agricultural-production-operations-general	Agricultural Production Operations, General.	Agricultural Production Operations, General.	01.0301	agriculture,education	agriculture/agribusiness,agriculture/food-science-processing,education/teaching-training-facilitation	3
https://education.org.ai/AnimalLivestockHusbandryAndProduction	education.org.ai	Education	AnimalLivestockHusbandryAndProduction	animallivestock-husbandry-and-production	Animal/Livestock Husbandry and Production.	Animal/Livestock Husbandry and Production.	01.0302	agriculture,education	agriculture/agribusiness,agriculture/animal-systems,education/teaching-training-facilitation	5
https://education.org.ai/Aquaculture	education.org.ai	Education	Aquaculture	aquaculture	Aquaculture.	Aquaculture.	01.0303	agriculture,education	agriculture/water-systems,education/teaching-training-facilitation	3
https://education.org.ai/CropProduction	education.org.ai	Education	CropProduction	crop-production	Crop Production.	Crop Production.	01.0304	agriculture,education	agriculture/food-science-processing,agriculture/plant-systems,education/teaching-training-facilitation	4
https://education.org.ai/DairyHusbandryAndProduction	education.org.ai	Education	DairyHusbandryAndProduction	dairy-husbandry-and-production	Dairy Husbandry and Production.	Dairy Husbandry and Production.	01.0306	agriculture,education	agriculture/food-science-processing,education/teaching-training-facilitation	3
https://education.org.ai/HorseHusbandryEquineScienceAndManagement	education.org.ai	Education	HorseHusbandryEquineScienceAndManagement	horse-husbandryequine-science-and-management	Horse Husbandry/Equine Science and Management.	Horse Husbandry/Equine Science and Management.	01.0307	agriculture,education	agriculture/animal-systems,education/teaching-training-facilitation	5
https://education.org.ai/AgroecologyAndSustainableAgriculture	education.org.ai	Education	AgroecologyAndSustainableAgriculture	agroecology-and-sustainable-agriculture	Agroecology and Sustainable Agriculture.	Agroecology and Sustainable Agriculture.	01.0308	agriculture,education,energy-natural-resources	agriculture/agribusiness,agriculture/plant-systems,education/teaching-training-facilitation,energy-natural-resources/conservation-land-management,energy-natural-resources/ecological-research-development	6
https://education.org.ai/Apiculture	education.org.ai	Education	Apiculture	apiculture	Apiculture.	Apiculture.	01.0310	agriculture,education	agriculture/agribusiness,agriculture/animal-systems,agriculture/water-systems,education/teaching-training-facilitation	6
https://education.org.ai/AgriculturalproductionoperationsOther	education.org.ai	Education	AgriculturalproductionoperationsOther	agricultural-production-operations-other	Agricultural Production Operations, Other.	Agricultural Production Operations, Other.	01.0399	agriculture,education	agriculture/agribusiness,education/teaching-training-facilitation	3
https://education.org.ai/AgriculturalAndFoodProductsProcessing	education.org.ai	Education	AgriculturalAndFoodProductsProcessing	agricultural-and-food-products-processing	Agricultural and Food Products Processing.	Agricultural and Food Products Processing.	01.0401	agriculture,education	agriculture/agribusiness,agriculture/food-science-processing,education/teaching-training-facilitation	4
https://education.org.ai/DogPetAnimalGrooming	education.org.ai	Education	DogPetAnimalGrooming	dogpetanimal-grooming	Dog/Pet/Animal Grooming.	Dog/Pet/Animal Grooming.	01.0504	agriculture,education	agriculture/animal-systems,education/teaching-training-facilitation	2
https://education.org.ai/AnimalTraining	education.org.ai	Education	AnimalTraining	animal-training	Animal Training.	Animal Training.	01.0505	agriculture,education	agriculture/animal-systems,education/teaching-training-facilitation	2
https://education.org.ai/EquestrianEquineStudies	education.org.ai	Education	EquestrianEquineStudies	equestrianequine-studies	Equestrian/Equine Studies.	Equestrian/Equine Studies.	01.0507	agriculture,education	agriculture/animal-systems,education/teaching-training-facilitation	2
https://education.org.ai/FarrierScience	education.org.ai	Education	FarrierScience	farrier-science	Farrier Science.	Farrier Science.	01.0509	agriculture,education	agriculture/animal-systems,education/teaching-training-facilitation	2
https://education.org.ai/AppliedhorticulturehorticultureoperationsGeneral	education.org.ai	Education	AppliedhorticulturehorticultureoperationsGeneral	applied-horticulturehorticulture-operations-general	Applied Horticulture/Horticulture Operations, General.	Applied Horticulture/Horticulture Operations, General.	01.0601	agriculture,education,hospitality-events-tourism	agriculture/plant-systems,education/teaching-training-facilitation,hospitality-events-tourism/travel-leisure	5
https://education.org.ai/OrnamentalHorticulture	education.org.ai	Education	OrnamentalHorticulture	ornamental-horticulture	Ornamental Horticulture.	Ornamental Horticulture.	01.0603	agriculture,education,hospitality-events-tourism	agriculture/plant-systems,education/teaching-training-facilitation,hospitality-events-tourism/travel-leisure	4
https://education.org.ai/GreenhouseOperationsAndManagement	education.org.ai	Education	GreenhouseOperationsAndManagement	greenhouse-operations-and-management	Greenhouse Operations and Management.	Greenhouse Operations and Management.	01.0604	agriculture,education,hospitality-events-tourism	agriculture/agribusiness,agriculture/plant-systems,education/teaching-training-facilitation,hospitality-events-tourism/travel-leisure	5
https://education.org.ai/LandscapingAndGroundskeeping	education.org.ai	Education	LandscapingAndGroundskeeping	landscaping-and-groundskeeping	Landscaping and Groundskeeping.	Landscaping and Groundskeeping.	01.0605	agriculture,education,hospitality-events-tourism	agriculture/plant-systems,education/teaching-training-facilitation,hospitality-events-tourism/travel-leisure	4
https://education.org.ai/PlantNurseryOperationsAndManagement	education.org.ai	Education	PlantNurseryOperationsAndManagement	plant-nursery-operations-and-management	Plant Nursery Operations and Management.	Plant Nursery Operations and Management.	01.0606	agriculture,education,hospitality-events-tourism	agriculture/agribusiness,agriculture/plant-systems,education/teaching-training-facilitation,hospitality-events-tourism/travel-leisure	7
