url	ns	type	id	name	description	code	sourceUrl
https://industries.org.ai/11	industries.org.ai	Industry	11	Agriculture, Forestry, Fishing and HuntingT	Agriculture, Forestry, Fishing and HuntingT	11	
https://industries.org.ai/111	industries.org.ai	Industry	111	Crop ProductionT	Crop ProductionT	111	
https://industries.org.ai/1111	industries.org.ai	Industry	1111	Oilseed and Grain FarmingT	Oilseed and Grain FarmingT	1111	
https://industries.org.ai/11111	industries.org.ai	Industry	11111	Soybean FarmingT	Soybean FarmingT	11111	
https://industries.org.ai/111110	industries.org.ai	Industry	111110	Soybean Farming	Soybean Farming	111110	
https://industries.org.ai/11112	industries.org.ai	Industry	11112	Oilseed (except Soybean) FarmingT	Oilseed (except Soybean) FarmingT	11112	
https://industries.org.ai/111120	industries.org.ai	Industry	111120	Oilseed (except Soybean) Farming	Oilseed (except Soybean) Farming	111120	
https://industries.org.ai/11113	industries.org.ai	Industry	11113	Dry Pea and Bean FarmingT	Dry Pea and Bean FarmingT	11113	
https://industries.org.ai/111130	industries.org.ai	Industry	111130	Dry Pea and Bean Farming	Dry Pea and Bean Farming	111130	
https://industries.org.ai/11114	industries.org.ai	Industry	11114	Wheat FarmingT	Wheat FarmingT	11114	
https://industries.org.ai/111140	industries.org.ai	Industry	111140	Wheat Farming	Wheat Farming	111140	
https://industries.org.ai/11115	industries.org.ai	Industry	11115	Corn FarmingT	Corn FarmingT	11115	
https://industries.org.ai/111150	industries.org.ai	Industry	111150	Corn Farming	Corn Farming	111150	
https://industries.org.ai/11116	industries.org.ai	Industry	11116	Rice FarmingT	Rice FarmingT	11116	
https://industries.org.ai/111160	industries.org.ai	Industry	111160	Rice Farming	Rice Farming	111160	
https://industries.org.ai/11119	industries.org.ai	Industry	11119	Other Grain FarmingT	Other Grain FarmingT	11119	
https://industries.org.ai/111191	industries.org.ai	Industry	111191	Oilseed and Grain Combination Farming	Oilseed and Grain Combination Farming	111191	
https://industries.org.ai/111199	industries.org.ai	Industry	111199	All Other Grain Farming	All Other Grain Farming	111199	
https://industries.org.ai/1112	industries.org.ai	Industry	1112	Vegetable and Melon FarmingT	Vegetable and Melon FarmingT	1112	
https://industries.org.ai/11121	industries.org.ai	Industry	11121	Vegetable and Melon FarmingT	Vegetable and Melon FarmingT	11121	
https://industries.org.ai/111211	industries.org.ai	Industry	111211	Potato Farming	Potato Farming	111211	
https://industries.org.ai/111219	industries.org.ai	Industry	111219	Other Vegetable (except Potato) and Melon Farming	Other Vegetable (except Potato) and Melon Farming	111219	
https://industries.org.ai/1113	industries.org.ai	Industry	1113	Fruit and Tree Nut FarmingT	Fruit and Tree Nut FarmingT	1113	
https://industries.org.ai/11131	industries.org.ai	Industry	11131	Orange GrovesT	Orange GrovesT	11131	
https://industries.org.ai/111310	industries.org.ai	Industry	111310	Orange Groves	Orange Groves	111310	
https://industries.org.ai/11132	industries.org.ai	Industry	11132	Citrus (except Orange) GrovesT	Citrus (except Orange) GrovesT	11132	
https://industries.org.ai/111320	industries.org.ai	Industry	111320	Citrus (except Orange) Groves	Citrus (except Orange) Groves	111320	
https://industries.org.ai/11133	industries.org.ai	Industry	11133	Noncitrus Fruit and Tree Nut FarmingT	Noncitrus Fruit and Tree Nut FarmingT	11133	
https://industries.org.ai/111331	industries.org.ai	Industry	111331	Apple Orchards	Apple Orchards	111331	
https://industries.org.ai/111332	industries.org.ai	Industry	111332	Grape Vineyards	Grape Vineyards	111332	
https://industries.org.ai/111333	industries.org.ai	Industry	111333	Strawberry Farming	Strawberry Farming	111333	
