url	ns	type	id	name	description	code	graphdl	predicate	object	preposition	complement	confidence	parentProcess
https://processes.org.ai/Develop_Vision	processes.org.ai	Process	Develop_Vision	Develop Vision	Expanded from: Develop Vision and Strategy		Develop.Vision	Develop	Vision			1	https://apqc.org.ai/Process/Develop_Vision_and_Strategy
https://processes.org.ai/Develop_Strategy	processes.org.ai	Process	Develop_Strategy	Develop Strategy	Expanded from: Develop Vision and Strategy		Develop.Strategy	Develop	Strategy			1	https://apqc.org.ai/Process/Develop_Vision_and_Strategy
https://processes.org.ai/Define_BusinessConcept	processes.org.ai	Process	Define_BusinessConcept	Define BusinessConcept	Expanded from: Define the business concept and long-term vision		Define.BusinessConcept	Define	BusinessConcept			1	https://apqc.org.ai/Process/Define_the_business_concept_and_long-term_vision
https://processes.org.ai/Define_LongTermVision	processes.org.ai	Process	Define_LongTermVision	Define LongTermVision	Expanded from: Define the business concept and long-term vision		Define.LongTermVision	Define	LongTermVision			1	https://apqc.org.ai/Process/Define_the_business_concept_and_long-term_vision
https://processes.org.ai/Analyze_competition	processes.org.ai	Process	Analyze_competition	Analyze competition	Expanded from: Analyze and evaluate competition		Analyze.competition	Analyze	competition			1	https://apqc.org.ai/Process/Analyze_and_evaluate_competition
https://processes.org.ai/evaluate_competition	processes.org.ai	Process	evaluate_competition	evaluate competition	Expanded from: Analyze and evaluate competition		evaluate.competition	evaluate	competition			1	https://apqc.org.ai/Process/Analyze_and_evaluate_competition
https://processes.org.ai/Identify_political	processes.org.ai	Process	Identify_political	Identify political	Expanded from: Identify political and regulatory issues		Identify.political	Identify	political			1	https://apqc.org.ai/Process/Identify_political_and_regulatory_issues
https://processes.org.ai/Identify_regulatory_issues	processes.org.ai	Process	Identify_regulatory_issues	Identify regulatory issues	Expanded from: Identify political and regulatory issues		Identify.regulatory.issues	Identify	regulatory issues			1	https://apqc.org.ai/Process/Identify_political_and_regulatory_issues
https://processes.org.ai/Identify_social	processes.org.ai	Process	Identify_social	Identify social	Expanded from: Identify social and cultural changes		Identify.social	Identify	social			1	https://apqc.org.ai/Process/Identify_social_and_cultural_changes
https://processes.org.ai/Identify_cultural_changes	processes.org.ai	Process	Identify_cultural_changes	Identify cultural changes	Expanded from: Identify social and cultural changes		Identify.cultural.changes	Identify	cultural changes			1	https://apqc.org.ai/Process/Identify_social_and_cultural_changes
https://processes.org.ai/Conduct_mergers	processes.org.ai	Process	Conduct_mergers	Conduct mergers	Expanded from: Conduct mergers and acquisitions (M&A) analysis		Conduct.mergers	Conduct	mergers			1	https://apqc.org.ai/Process/Conduct_mergers_and_acquisitions_(M&A)_analysis
https://processes.org.ai/Conduct_acquisitions	processes.org.ai	Process	Conduct_acquisitions	Conduct acquisitions	Expanded from: Conduct mergers and acquisitions (M&A) analysis		Conduct.acquisitions	Conduct	acquisitions			1	https://apqc.org.ai/Process/Conduct_mergers_and_acquisitions_(M&A)_analysis
https://processes.org.ai/Monitor_external_opportunities	processes.org.ai	Process	Monitor_external_opportunities	Monitor external opportunities	Expanded from: Monitor external opportunities and threats		Monitor.external.opportunities	Monitor	external opportunities			1	https://apqc.org.ai/Process/Monitor_external_opportunities_and_threats
https://processes.org.ai/Monitor_threats	processes.org.ai	Process	Monitor_threats	Monitor threats	Expanded from: Monitor external opportunities and threats		Monitor.threats	Monitor	threats			1	https://apqc.org.ai/Process/Monitor_external_opportunities_and_threats
https://processes.org.ai/Survey_market	processes.org.ai	Process	Survey_market	Survey market	Expanded from: Survey market and determine customer needs and wants		Survey.market	Survey	market			1	https://apqc.org.ai/Process/Survey_market_and_determine_customer_needs_and_wants
https://processes.org.ai/Survey_determine_CustomerNeeds	processes.org.ai	Process	Survey_determine_CustomerNeeds	Survey determine CustomerNeeds	Expanded from: Survey market and determine customer needs and wants		Survey.determine.CustomerNeeds	Survey	determine CustomerNeeds			1	https://apqc.org.ai/Process/Survey_market_and_determine_customer_needs_and_wants
https://processes.org.ai/Survey_wants	processes.org.ai	Process	Survey_wants	Survey wants	Expanded from: Survey market and determine customer needs and wants		Survey.wants	Survey	wants			1	https://apqc.org.ai/Process/Survey_market_and_determine_customer_needs_and_wants
https://processes.org.ai/Capture_CustomerNeeds	processes.org.ai	Process	Capture_CustomerNeeds	Capture CustomerNeeds	Expanded from: Capture customer needs and wants		Capture.CustomerNeeds	Capture	CustomerNeeds			1	https://apqc.org.ai/Process/Capture_customer_needs_and_wants
https://processes.org.ai/Capture_wants	processes.org.ai	Process	Capture_wants	Capture wants	Expanded from: Capture customer needs and wants		Capture.wants	Capture	wants			1	https://apqc.org.ai/Process/Capture_customer_needs_and_wants
https://processes.org.ai/Assess_CustomerNeeds	processes.org.ai	Process	Assess_CustomerNeeds	Assess CustomerNeeds	Expanded from: Assess customer needs and wants		Assess.CustomerNeeds	Assess	CustomerNeeds			1	https://apqc.org.ai/Process/Assess_customer_needs_and_wants
https://processes.org.ai/Assess_wants	processes.org.ai	Process	Assess_wants	Assess wants	Expanded from: Assess customer needs and wants		Assess.wants	Assess	wants			1	https://apqc.org.ai/Process/Assess_customer_needs_and_wants
https://processes.org.ai/Analyze_systems	processes.org.ai	Process	Analyze_systems	Analyze systems	Expanded from: Analyze systems and technology		Analyze.systems	Analyze	systems			1	https://apqc.org.ai/Process/Analyze_systems_and_technology
https://processes.org.ai/Analyze_technology	processes.org.ai	Process	Analyze_technology	Analyze technology	Expanded from: Analyze systems and technology		Analyze.technology	Analyze	technology			1	https://apqc.org.ai/Process/Analyze_systems_and_technology
