roleId	occupationId
Conservators	Museum_Technicians_and_Conservators
ConstructionLaborers	Construction_Laborers
ConstructionManagers	Construction_Managers
ConsumerSciencesTeachersPostsecondary	Family_and_Consumer_Sciences_Teachers,_Postsecondary
ContinuousMiningMachineOperators	Continuous_Mining_Machine_Operators
ControlCenterOfficers	Command_and_Control_Center_Officers
ControlCenterSpecialists	Command_and_Control_Center_Specialists
Controllers	Treasurers_and_Controllers
CooksAllOther	Cooks,_All_Other
CooksFastFood	Cooks,_Fast_Food
CooksPrivateHousehold	Cooks,_Private_Household
CooksRestaurant	Cooks,_Restaurant
CooksShortOrder	Cooks,_Short_Order
CopyMarkers	Proofreaders_and_Copy_Markers
Coremakers	Foundry_Mold_and_Coremakers
Coroners	Coroners
CorrectionalTreatmentSpecialists	Probation_Officers_and_Correctional_Treatment_Specialists
CorrespondenceClerks	Correspondence_Clerks
Cosmetologists	Hairdressers,_Hairstylists,_and_Cosmetologists
CostEstimators	Cost_Estimators
CostumeAttendants	Costume_Attendants
CounselingPsychologists	Clinical_and_Counseling_Psychologists
CounselorsAllOther	Counselors,_All_Other
CounterWorkers	Fast_Food_and_Counter_Workers
CraftArtists	Craft_Artists
CreativeWriters	Poets,_Lyricists_and_Creative_Writers
CreditAnalysts	Credit_Analysts
CreditCounselors	Credit_Counselors
CrematoryOperators	Crematory_Operators
CrewMembersAllOther	Military_Enlisted_Tactical_Operations_and_Air_Weapons_Specialists_and_Crew_Members,_All_Other
CriminalInvestigators	Detectives_and_Criminal_Investigators
CriticalCareNurses	Critical_Care_Nurses
CulturalStudiesTeachersPostsecondary	Area,_Ethnic,_and_Cultural_Studies_Teachers,_Postsecondary
Curators	Curators
CustomerServiceRepresentatives	Customer_Service_Representatives
CustomsBrokers	Customs_Brokers
CustomSewers	Tailors,_Dressmakers,_and_Custom_Sewers
CytogeneticTechnologists	Cytogenetic_Technologists
Cytotechnologists	Cytotechnologists
Dancers	Dancers
DatabaseAdministrators	Database_Administrators
DatabaseArchitects	Database_Architects
DataEntryKeyers	Data_Entry_Keyers
DataScientists	Data_Scientists
DataWarehousingSpecialists	Data_Warehousing_Specialists
Daycare	Education_and_Childcare_Administrators,_Preschool_and_Daycare
DecoratingWorkers	Painting,_Coating,_and_Decorating_Workers
DentalAssistants	Dental_Assistants
DentalHygienists	Dental_Hygienists
DentalLaboratoryTechnicians	Dental_Laboratory_Technicians
DentistsAllOtherSpecialists	Dentists,_All_Other_Specialists
DentistsGeneral	Dentists,_General
Dermatologists	Dermatologists
DesignersAllOther	Designers,_All_Other
DesktopPublishers	Desktop_Publishers
Detectives	First-Line_Supervisors_of_Police_and_Detectives
DevelopmentManagers	Training_and_Development_Managers
DevelopmentSpecialists	Training_and_Development_Specialists
