id	name	description	type	format
Article	Article	Written content piece	Written	Text
BlogPost	Blog Post	Blog article or post	Written	HTML
NewsArticle	News Article	News or journalistic content	Written	Text
Video	Video	Video content	Visual	Video
Podcast	Podcast	Audio podcast episode	Audio	Audio
Image	Image	Still image or photograph	Visual	Image
Infographic	Infographic	Visual information graphic	Visual	Image
Ebook	E-book	Electronic book	Written	PDF
Whitepaper	Whitepaper	Technical or authoritative report	Written	PDF
CaseStudy	Case Study	Detailed case study or success story	Written	Text
Tutorial	Tutorial	Educational how-to content	Educational	Mixed
Webinar	Webinar	Online seminar or presentation	Video	Video
Livestream	Live Stream	Live video broadcast	Video	Stream
SocialPost	Social Media Post	Social media content	Social	Mixed
Newsletter	Newsletter	Email newsletter	Written	HTML
PressRelease	Press Release	Official press statement	Written	Text
Review	Review	Product or service review	Written	Text
Interview	Interview	Interview content	Mixed	Mixed
Documentary	Documentary	Documentary film or series	Video	Video
Animation	Animation	Animated content	Visual	Video
