processId	industry
Companies.develop.Vision	cross-industry
Companies.develop.Strategy	cross-industry
Companies.define.BusinessConceptVision	cross-industry
Companies.define.LongTermVision	cross-industry
Companies.assess.ExternalEnvironment	cross-industry
Companies.identify.Competitors	cross-industry
Companies.analyze.Competition	cross-industry
Companies.evaluate.Competition	cross-industry
Companies.identify.PotentialProductAlternatives	cross-industry
Companies.identify.ServiceAlternatives	cross-industry
Companies.identify.EconomicTrends	cross-industry
Companies.identify.PoliticalFactors	cross-industry
Companies.identify.RegulatoryFactors	cross-industry
Companies.identify.EnvironmentalFactors	cross-industry
Companies.identify.SocialChanges	cross-industry
Companies.identify.CulturalChanges	cross-industry
Companies.assess.NewTechnologies	cross-industry
Companies.analyze.Demographics	cross-industry
Companies.evaluate.IntellectualProperty	cross-industry
Companies.survey.MarketCustomerNeeds	cross-industry
Companies.survey.Wants	cross-industry
Companies.survey.DetermineCustomerNeeds	cross-industry
Companies.survey.Wants	cross-industry
Companies.conduct.Qualitative	cross-industry
Companies.conduct.Assessments	cross-industry
Companies.capture.CustomerNeeds	cross-industry
Companies.capture.Wants	cross-industry
Companies.assess.CustomerNeeds	cross-industry
Companies.assess.Wants	cross-industry
Companies.assess.InternalEnvironment	cross-industry
Companies.analyze.OrganizationalCharacteristics	cross-industry
Companies.analyze.InternalOperations	cross-industry
Companies.create.Baselines.for.CurrentProcesses	cross-industry
Companies.analyze.Systems	cross-industry
Companies.analyze.Technology	cross-industry
Companies.analyze.FinancialHealth	cross-industry
Companies.identify.CoreCompetencies	cross-industry
Companies.establish.StrategicVision	cross-industry
Companies.define.StrategicVision	cross-industry
Companies.align.Stakeholders.around.StrategicVision	cross-industry
Companies.communicate.StrategicVision.to.Stakeholders	cross-industry
Companies.conduct.OrganizationRestructuringOpportunities	cross-industry
Companies.identify.RestructuringOpportunities	cross-industry
Companies.perform.Due	cross-industry
Companies.analyze.DealOptions	cross-industry
Companies.evaluate.AcquisitionOptions	cross-industry
Companies.evaluate.MergerOptions	cross-industry
Companies.evaluate.De	cross-industry
Companies.evaluate.DivestureOptions	cross-industry
Companies.develop.BusinessStrategy	cross-industry
Companies.develop.OverallMissionStatement	cross-industry
Companies.define.CurrentBusiness	cross-industry
Companies.formulate.Mission	cross-industry
Companies.communicate.Mission	cross-industry
Companies.define.StrategicOptions.to.AchieveMission	cross-industry
Companies.evaluate.StrategicOptions.to.AchieveMission	cross-industry
Companies.define.StrategicOptions	cross-industry
Companies.select.Partnerships.to.SupportExtendedEnterprise	cross-industry
Companies.select.Relationships.to.SupportExtendedEnterprise	cross-industry
Companies.assess.Impact.of.Option	cross-industry
Companies.analyze.Impact.of.Option	cross-industry
Companies.identify.Implications.for.KeyOperatingModelBusinessElementsRequireChange	cross-industry
Companies.identify.Implications.for.KeyTechnologyAspects	cross-industry
Companies.evaluate.BBOptions	cross-industry
Companies.evaluate.BCOptions	cross-industry
Companies.evaluate.Partner	cross-industry
Companies.evaluate.IpAcquisitionOptions	cross-industry
Companies.evaluate.InnovationOptions	cross-industry
Companies.evaluate.SustainabilityOptions	cross-industry
Companies.evaluate.GlobalSupportOptions	cross-industry
Companies.evaluate.SharedServicesOptions	cross-industry
Companies.evaluate.Lean	cross-industry
Companies.set.Long	cross-industry
Companies.develop.Long	cross-industry
Companies.develop.Partner	cross-industry
Companies.develop.SustainabilityStrategy	cross-industry
Companies.develop.Merger	cross-industry
Companies.develop.InnovationStrategy	cross-industry
Companies.develop.GlobalSupportStrategy	cross-industry
Companies.develop.SharedServicesStrategy	cross-industry
Companies.develop.Lean	cross-industry
Companies.coordinate.Cross	cross-industry
Companies.align.Cross	cross-industry
Companies.create.OrganizationalDesign	cross-industry
Companies.evaluate.Breadth.of.OrganizationalStructure	cross-industry
Companies.evaluate.Depth.of.OrganizationalStructure	cross-industry
Companies.perform.Job	cross-industry
Companies.perform.Value	cross-industry
Companies.develop.RoleActivityDiagrams.to.AssessHand	cross-industry
Companies.perform.OrganizationRedesignWorkshops	cross-industry
Companies.design.Relationships.between.OrganizationalUnits	cross-industry
Companies.develop.RoleAnalysisDiagrams.for.KeyProcesses	cross-industry
Companies.develop.ActivityDiagrams.for.KeyProcesses	cross-industry
Companies.assess.OrganizationalImplication.of.FeasibleAlternatives	cross-industry
Companies.new.Organization	cross-industry
Companies.develop.OrganizationalObjectives	cross-industry
Companies.set.OrganizationalObjectives	cross-industry
Companies.identify.OrganizationalObjectives	cross-industry
Companies.establish.BaselineMetrics	cross-industry
Companies.monitor.Performance.against.Objective	cross-industry
Companies.formulate.BusinessUnitStrategies	cross-industry
Companies.analyze.BusinessUnitStrategies	cross-industry
Companies.identify.CoreCompetency.for.BusinessUnit	cross-industry
Companies.refine.BusinessUnitStrategies.in.Support.of.OrganizationalStrategy	cross-industry
Companies.develop.CustomerExperienceStrategy	cross-industry
Companies.assess.CustomerExperience	cross-industry
Companies.identify.CustomerTouchpoints	cross-industry
Companies.review.CustomerTouchpoints	cross-industry
Companies.assess.CustomerExperience.across.Touchpoints	cross-industry
Companies.perform.RootCauseAnalysis.of.ProblematicCustomerExperiences	cross-industry
Companies.design.CustomerExperience	cross-industry
Companies.define.Personas	cross-industry
Companies.manage.Personas	cross-industry
Companies.create.CustomerJourneyMaps	cross-industry
Companies.define.SingleView.of.Customer.for.Organization	cross-industry
Companies.define.Vision.for.CustomerExperience	cross-industry
Companies.validate.with.Customers	cross-industry
Companies.align.Experience.with.BrandValuesStrategies	cross-industry
Companies.align.Experience.with.BusinessStrategies	cross-industry
Companies.develop.ContentStrategy	cross-industry
Companies.design.CustomerExperienceSupportStructure	cross-industry
Companies.identify.RequiredCapabilities	cross-industry
Companies.identify.Impact.on.FunctionalProcesses	cross-industry
Companies.develop.CustomerExperienceRoadmap.to.DevelopDefinedCapabilities	cross-industry
Companies.develop.CustomerExperienceRoadmap.to.ImplementDefinedCapabilities	cross-industry
Companies.communicate.StrategiesInternally	cross-industry
Companies.communicate.Externally	cross-industry
Companies.develop.StrategicInitiatives	cross-industry
Companies.measure.StrategicInitiatives	cross-industry
Companies.develop.StrategicInitiatives	cross-industry
Companies.identify.StrategicPriorities	cross-industry
Companies.develop.StrategicInitiativesBased.on.Business	cross-industry
Companies.review.with.Stakeholders	cross-industry
Companies.evaluate.StrategicInitiatives	cross-industry
Companies.determine.BusinessValue.for.StrategicPriority	cross-industry
Companies.determine.CustomerValue.for.StrategicPriority	cross-industry
Companies.select.StrategicInitiatives	cross-industry
Companies.prioritize.StrategicInitiatives	cross-industry
Companies.communicate.StrategicInitiatives.to.BusinessUnits	cross-industry
Companies.communicate.StrategicInitiatives.to.Stakeholders	cross-industry
Companies.establish.High	cross-industry
Companies.identify.BusinessValueDrivers	cross-industry
Companies.establish.Baselines.for.BusinessValueDrivers	cross-industry
Companies.monitor.Performance.against.Baselines	cross-industry
Companies.execute.StrategicInitiatives	cross-industry
Companies.review.Execution.of.StrategicInitiatives	cross-industry
Companies.refine.StrategicInitiativesPlansAsNeeded	cross-industry
Companies.refine.ProjectPlansAsNeeded	cross-industry
Companies.develop.BusinessModels	cross-industry
Companies.maintain.BusinessModels	cross-industry
Companies.develop.BusinessModels	cross-industry
Companies.assemble.BusinessModelInformation	cross-industry
Companies.secure.AppropriateApprovals	cross-industry
Companies.identify.IntegrationPoints.with.ExistingModels	cross-industry
Companies.adopt.BusinessModel	cross-industry
Companies.maintain.BusinessModels	cross-industry
Companies.establish.BusinessModelMaintenanceParameters	cross-industry
Companies.accept.BusinessModelFeedbackParameters	cross-industry
Companies.prioritize.IncomingFeedback	cross-industry
Companies.manage.IncomingFeedback	cross-industry
Companies.update.ExistingModels	cross-industry
Companies.establish.BusinessModelGovernance	cross-industry
Companies.develop.ProductsServices	cross-industry
Companies.manage.ProductsServices	cross-industry
Companies.govern.Product	cross-industry
Companies.manage.Product	cross-industry
Companies.manage.ProductPortfolio	cross-industry
Companies.manage.ServicePortfolio	cross-industry
Companies.evaluate.Performance.of.ExistingProducts	cross-industry
Companies.confirm.Alignment.of.Product	cross-industry
Companies.prioritize.NewProduct	cross-industry
Companies.select.NewProduct	cross-industry
Companies.plan.CostQualityTargets	cross-industry
Companies.develop.CostQualityTargets	cross-industry
Companies.specify.DevelopmentTimingTargets	cross-industry
Companies.plan.for.Product	cross-industry
Companies.manage.ProductLifeCycle	cross-industry
Companies.manage.ServiceLifeCycle	cross-industry
Companies.develop.Plan.for.NewProduct	cross-industry
Companies.develop.Plan.for.Introduction	cross-industry
Companies.introduce.NewProducts	cross-industry
Companies.retire.OutdatedProducts	cross-industry
Companies.identify.PerformanceIndicators	cross-industry
Companies.refine.PerformanceIndicators	cross-industry
Companies.conduct.PostLaunchReview	cross-industry
Companies.carry.out.PostLaunchAnalytics.to.TestAcceptability.in.Market	cross-industry
Companies.review.MarketPerformance	cross-industry
Companies.review.Effectiveness.of.SupplyChainNetwork	cross-industry
Companies.review.Effectiveness.of.DistributionNetwork	cross-industry
Companies.apply.Data.to.ReviewSupplyChainMethodologies	cross-industry
Companies.apply.Analytics.to.ReviewSupplyChainMethodologies	cross-industry
Companies.review.Quality.of.Product	cross-industry
Companies.review.Performance.of.Product	cross-industry
Companies.conduct.FinancialReview	cross-industry
Companies.conduct.NewProductDevelopmentProcessAssessment	cross-industry
Companies.manage.Patents	cross-industry
Companies.manage.RegulatoryRequirements	cross-industry
Companies.conduct.MandatoryReviews	cross-industry
Companies.conduct.ElectiveReviews	cross-industry
Companies.review.Infringement.of.Patents	cross-industry
Companies.review.Infringement.of.Copyrights	cross-industry
Companies.determine.PatentNeeds	cross-industry
Companies.determine.CopyrightNeeds	cross-industry
Companies.define.ProductTechnicalDocumentationManagementRequirements	cross-industry
Companies.manage.RegulatoryRequirements	cross-industry
Companies.train.Employees.on.AppropriateRegulatoryRequirements	cross-industry
Companies.maintain.Records.for.RegulatoryAgencies	cross-industry
Companies.manage.RegulatorySubmissionLifeCycle	cross-industry
Companies.manage.ProductMasterData	cross-industry
Companies.manage.ServiceMasterData	cross-industry
Companies.manage.MaterialsMasterLists	cross-industry
Companies.manage.Bills.of.Material	cross-industry
Companies.manage.Routings	cross-industry
Companies.manage.Specifications	cross-industry
Companies.manage.Drawings	cross-industry
Companies.manage.Product	cross-industry
Companies.develop.Quality	cross-industry
Companies.maintain.Quality	cross-industry
Companies.maintain.ProcessSpecificationData	cross-industry
Companies.manage.TraceabilityData	cross-industry
Companies.review.DataAccessRequests	cross-industry
Companies.approve.DataAccessRequests	cross-industry
Companies.generate.NewProduct	cross-industry
Companies.define.NewProduct	cross-industry
Companies.perform.DiscoveryResearch	cross-industry
Companies.identify.NewTechnologies	cross-industry
Companies.develop.NewTechnologies	cross-industry
Companies.assess.Feasibility.of.IntegratingNewLeadingTechnologies.into.Product	cross-industry
Companies.generate.NewProduct	cross-industry
Companies.gather.NewProduct	cross-industry
Companies.gather.Requirements	cross-industry
Companies.analyze.NewProduct	cross-industry
Companies.analyze.Requirements	cross-industry
Companies.evaluate.NewProduct	cross-industry
Companies.evaluate.Requirements	cross-industry
Companies.formulate.NewProduct	cross-industry
Companies.identify.PotentialImprovements.to.ExistingProducts	cross-industry
Companies.identify.PotentialImprovements.to.Services	cross-industry
Companies.define.Product	cross-industry
Companies.define.Product	cross-industry
Companies.define.BasicFunctionalRequirements	cross-industry
Companies.derive.InteroperabilityRequirements.for.Products	cross-industry
Companies.derive.InteroperabilityRequirements.for.Services	cross-industry
Companies.derive.SafetyRequirements.for.Products	cross-industry
Companies.derive.SafetyRequirements.for.Services	cross-industry
Companies.derive.SecurityRequirements.for.Products	cross-industry
Companies.derive.SecurityRequirements.for.Services	cross-industry
Companies.derive.RegulatoryComplianceRequirements	cross-industry
Companies.derive.Requirements.from.IndustryStandards	cross-industry
Companies.develop.UserExperienceRequirements	cross-industry
Companies.derive.Services	cross-industry
Companies.define.PostLaunchSupportModel	cross-industry
Companies.identify.Product	cross-industry
Companies.develop.Products	cross-industry
Companies.develop.Services	cross-industry
Companies.design.PrototypeProducts	cross-industry
Companies.design.Services	cross-industry
Companies.assign.Resources.to.Product	cross-industry
Companies.identify.Requirements.for.Product	cross-industry
Companies.prepare.High	cross-industry
Companies.prepare.TechnicalAssessment	cross-industry
