knowledgeId	occupationId
Administration_and_Management	Accountants_and_Auditors
Administration_and_Management	Actors
Administration_and_Management	Actuaries
Administration_and_Management	Acupuncturists
Administration_and_Management	Acute_Care_Nurses
Administration_and_Management	Adapted_Physical_Education_Specialists
Administration_and_Management	Adhesive_Bonding_Machine_Operators_and_Tenders
Administration_and_Management	Administrative_Law_Judges,_Adjudicators,_and_Hearing_Officers
Administration_and_Management	Administrative_Services_Managers
Administration_and_Management	Adult_Basic_Education,_Adult_Secondary_Education,_and_English_as_a_Second_Language_Instructors
Administration_and_Management	Advanced_Practice_Psychiatric_Nurses
Administration_and_Management	Advertising_and_Promotions_Managers
Administration_and_Management	Advertising_Sales_Agents
Administration_and_Management	Aerospace_Engineering_and_Operations_Technologists_and_Technicians
Administration_and_Management	Aerospace_Engineers
Administration_and_Management	Agents_and_Business_Managers_of_Artists,_Performers,_and_Athletes
Administration_and_Management	Agricultural_Engineers
Administration_and_Management	Agricultural_Equipment_Operators
Administration_and_Management	Agricultural_Inspectors
Administration_and_Management	Agricultural_Sciences_Teachers,_Postsecondary
Administration_and_Management	Agricultural_Technicians
Administration_and_Management	Air_Traffic_Controllers
Administration_and_Management	Aircraft_Cargo_Handling_Supervisors
Administration_and_Management	Aircraft_Mechanics_and_Service_Technicians
Administration_and_Management	Aircraft_Structure,_Surfaces,_Rigging,_and_Systems_Assemblers
Administration_and_Management	Airfield_Operations_Specialists
Administration_and_Management	Airline_Pilots,_Copilots,_and_Flight_Engineers
Administration_and_Management	Allergists_and_Immunologists
Administration_and_Management	Ambulance_Drivers_and_Attendants,_Except_Emergency_Medical_Technicians
Administration_and_Management	Amusement_and_Recreation_Attendants
Administration_and_Management	Anesthesiologist_Assistants
Administration_and_Management	Anesthesiologists
Administration_and_Management	Animal_Breeders
Administration_and_Management	Animal_Caretakers
Administration_and_Management	Animal_Control_Workers
Administration_and_Management	Animal_Scientists
Administration_and_Management	Animal_Trainers
Administration_and_Management	Anthropologists_and_Archeologists
Administration_and_Management	Anthropology_and_Archeology_Teachers,_Postsecondary
Administration_and_Management	Appraisers_and_Assessors_of_Real_Estate
Administration_and_Management	Appraisers_of_Personal_and_Business_Property
Administration_and_Management	Arbitrators,_Mediators,_and_Conciliators
Administration_and_Management	Architects,_Except_Landscape_and_Naval
Administration_and_Management	Architectural_and_Civil_Drafters
Administration_and_Management	Architectural_and_Engineering_Managers
Administration_and_Management	Architecture_Teachers,_Postsecondary
Administration_and_Management	Archivists
Administration_and_Management	Area,_Ethnic,_and_Cultural_Studies_Teachers,_Postsecondary
Administration_and_Management	Art_Directors
Administration_and_Management	Art_Therapists
Administration_and_Management	Art,_Drama,_and_Music_Teachers,_Postsecondary
Administration_and_Management	Astronomers
Administration_and_Management	Athletes_and_Sports_Competitors
Administration_and_Management	Athletic_Trainers
Administration_and_Management	Atmospheric_and_Space_Scientists
Administration_and_Management	Atmospheric,_Earth,_Marine,_and_Space_Sciences_Teachers,_Postsecondary
Administration_and_Management	Audio_and_Video_Technicians
Administration_and_Management	Audiologists
Administration_and_Management	Audiovisual_Equipment_Installers_and_Repairers
Administration_and_Management	Automotive_and_Watercraft_Service_Attendants
Administration_and_Management	Automotive_Body_and_Related_Repairers
Administration_and_Management	Automotive_Engineering_Technicians
Administration_and_Management	Automotive_Engineers
Administration_and_Management	Automotive_Glass_Installers_and_Repairers
Administration_and_Management	Automotive_Service_Technicians_and_Mechanics
