url	ns	type	id	name	singular	plural	usageCount	digital
https://language.org.ai/Noun/Installation	language.org.ai	LanguageNoun	Installation	"Installation	"Installation		2	
https://language.org.ai/Noun/Maintenance	language.org.ai	LanguageNoun	Maintenance	"Maintenance	"Maintenance		8	
https://language.org.ai/Noun/Rental	language.org.ai	LanguageNoun	Rental	"Rental	"Rental		5	
https://language.org.ai/Noun/D	language.org.ai	LanguageNoun	D	3/d	3/d		3	
https://language.org.ai/Noun/PL	language.org.ai	LanguageNoun	PL	3PL	3PL		1	
https://language.org.ai/Noun/Dv	language.org.ai	LanguageNoun	Dv	4dv	4dv		1	
https://language.org.ai/Noun/Dvsp	language.org.ai	LanguageNoun	Dvsp	4dvsp	4dvsp		2	
https://language.org.ai/Noun/Th	language.org.ai	LanguageNoun	Th	6th	6th		2	
https://language.org.ai/Noun/Ac	language.org.ai	LanguageNoun	Ac	A/c	a/c		1	
https://language.org.ai/Noun/Abandonmen	language.org.ai	LanguageNoun	Abandonmen	Abandonmen	abandonmen		1	
https://language.org.ai/Noun/Abandonment	language.org.ai	LanguageNoun	Abandonment	Abandonment	abandonment		2	
https://language.org.ai/Noun/Abdomen	language.org.ai	LanguageNoun	Abdomen	Abdomen	abdomen		75	
https://language.org.ai/Noun/Ability	language.org.ai	LanguageNoun	Ability	Ability	ability	abilities	1	
https://language.org.ai/Noun/ABO	language.org.ai	LanguageNoun	ABO	ABO	ABO		1	
https://language.org.ai/Noun/Abortifacient	language.org.ai	LanguageNoun	Abortifacient	Abortifacient	abortifacient		2	
https://language.org.ai/Noun/Abortion	language.org.ai	LanguageNoun	Abortion	Abortion	Abortion		1	
https://language.org.ai/Noun/Above	language.org.ai	LanguageNoun	Above	Above	above		1	
https://language.org.ai/Noun/Abrasiv	language.org.ai	LanguageNoun	Abrasiv	Abrasiv	Abrasiv	Abrasives	1	
https://language.org.ai/Noun/Abrasive	language.org.ai	LanguageNoun	Abrasive	Abrasive	abrasive		1	
https://language.org.ai/Noun/Abscess	language.org.ai	LanguageNoun	Abscess	Abscess	abscess		2	
https://language.org.ai/Noun/Absence	language.org.ai	LanguageNoun	Absence	Absence	absence		2	
https://language.org.ai/Noun/Acanthamoebiasi	language.org.ai	LanguageNoun	Acanthamoebiasi	Acanthamoebiasi	acanthamoebiasi	acanthamoebiasis	1	
https://language.org.ai/Noun/Acariasi	language.org.ai	LanguageNoun	Acariasi	Acariasi	acariasi	acariasis	2	
https://language.org.ai/Noun/Access	language.org.ai	LanguageNoun	Access	Access	access		2	
https://language.org.ai/Noun/Accessbuy	language.org.ai	LanguageNoun	Accessbuy	Access/buy	access/buy		2	
https://language.org.ai/Noun/Accessories	language.org.ai	LanguageNoun	Accessories	Accessories.	accessories.		1	
https://language.org.ai/Noun/Accessory	language.org.ai	LanguageNoun	Accessory	Accessory	accessory	accessories	5	
https://language.org.ai/Noun/Accommodation	language.org.ai	LanguageNoun	Accommodation	Accommodation	accommodation		2	
https://language.org.ai/Noun/Account	language.org.ai	LanguageNoun	Account	Account	Account		1	
https://language.org.ai/Noun/Accountability	language.org.ai	LanguageNoun	Accountability	Accountability	accountability		1	
https://language.org.ai/Noun/Accounting	language.org.ai	LanguageNoun	Accounting	Accounting	accounting		7	
https://language.org.ai/Noun/Accounts	language.org.ai	LanguageNoun	Accounts	Accounts.	accounts.		1	
https://language.org.ai/Noun/Accreditation	language.org.ai	LanguageNoun	Accreditation	Accreditation	Accreditation		1	
https://language.org.ai/Noun/Acetabulum	language.org.ai	LanguageNoun	Acetabulum	Acetabulum	acetabulum		1	
https://language.org.ai/Noun/Acetone	language.org.ai	LanguageNoun	Acetone	Acetone	acetone		1	
https://language.org.ai/Noun/Acetonuria	language.org.ai	LanguageNoun	Acetonuria	Acetonuria	acetonuria		1	
https://language.org.ai/Noun/Acetylene	language.org.ai	LanguageNoun	Acetylene	Acetylene	Acetylene		2	
https://language.org.ai/Noun/Achondrogenesi	language.org.ai	LanguageNoun	Achondrogenesi	Achondrogenesi	achondrogenesi	achondrogenesis	1	
https://language.org.ai/Noun/Achondroplasia	language.org.ai	LanguageNoun	Achondroplasia	Achondroplasia	achondroplasia		1	
https://language.org.ai/Noun/Acid	language.org.ai	LanguageNoun	Acid	Acid	acid		1	
https://language.org.ai/Noun/Acidifying	language.org.ai	LanguageNoun	Acidifying	Acidifying	acidifying		1	
https://language.org.ai/Noun/Acidosi	language.org.ai	LanguageNoun	Acidosi	Acidosi	acidosi	acidosis	1	
https://language.org.ai/Noun/Acoustical	language.org.ai	LanguageNoun	Acoustical	Acoustical	Acoustical		2	
https://language.org.ai/Noun/Acquired	language.org.ai	LanguageNoun	Acquired	Acquired	acquired		4	
https://language.org.ai/Noun/Acrobat	language.org.ai	LanguageNoun	Acrobat	Acrobat	Acrobat	Acrobats	1	
https://language.org.ai/Noun/Acromegaly	language.org.ai	LanguageNoun	Acromegaly	Acromegaly	acromegaly		1	
https://language.org.ai/Noun/Act	language.org.ai	LanguageNoun	Act	Act	act	acts	1	
https://language.org.ai/Noun/Acting	language.org.ai	LanguageNoun	Acting	Acting	Acting		1	
https://language.org.ai/Noun/Actinomycetoma	language.org.ai	LanguageNoun	Actinomycetoma	Actinomycetoma	actinomycetoma		1	
https://language.org.ai/Noun/Active	language.org.ai	LanguageNoun	Active	Active	active		1	
https://language.org.ai/Noun/Activity	language.org.ai	LanguageNoun	Activity	Activity	activity		3	
https://language.org.ai/Noun/Acupuncture	language.org.ai	LanguageNoun	Acupuncture	Acupuncture	acupuncture		1	
https://language.org.ai/Noun/Acupuncturist	language.org.ai	LanguageNoun	Acupuncturist	Acupuncturist	Acupuncturist		1	
https://language.org.ai/Noun/Acute	language.org.ai	LanguageNoun	Acute	Acute	acute		1	
