url	ns	type	id	code	name	description	career_cluster_id	career_cluster_name	soc_count	cip_count	description
https://education.org/SubCluster/Engineering	education.org.ai	SubCluster	Engineering	advanced-manufacturing/engineering	Engineering		advanced-manufacturing	Advanced Manufacturing	33	143	Engineering sub-cluster within Advanced Manufacturing
https://education.org/SubCluster/IndustrialMachinery	education.org.ai	SubCluster	IndustrialMachinery	advanced-manufacturing/industrial-machinery	Industrial Machinery		advanced-manufacturing	Advanced Manufacturing	28	36	Industrial Machinery sub-cluster within Advanced Manufacturing
https://education.org/SubCluster/Production&Automation	education.org.ai	SubCluster	Production&Automation	advanced-manufacturing/production-automation	Production & Automation		advanced-manufacturing	Advanced Manufacturing	88	78	Production & Automation sub-cluster within Advanced Manufacturing
https://education.org/SubCluster/Robotics	education.org.ai	SubCluster	Robotics	advanced-manufacturing/robotics	Robotics		advanced-manufacturing	Advanced Manufacturing	5	6	Robotics sub-cluster within Advanced Manufacturing
https://education.org/SubCluster/Safety&QualityAssurance	education.org.ai	SubCluster	Safety&QualityAssurance	advanced-manufacturing/safety-quality-assurance	Safety & Quality Assurance		advanced-manufacturing	Advanced Manufacturing	10	16	Safety & Quality Assurance sub-cluster within Advanced Manufacturing
https://education.org/SubCluster/Agribusiness	education.org.ai	SubCluster	Agribusiness	agriculture/agribusiness	Agribusiness		agriculture	Agriculture	3	31	Agribusiness sub-cluster within Agriculture
https://education.org/SubCluster/AgriculturalTechnology&Automation	education.org.ai	SubCluster	AgriculturalTechnology&Automation	agriculture/agricultural-technology-automation	Agricultural Technology & Automation		agriculture	Agriculture	6	6	Agricultural Technology & Automation sub-cluster within Agriculture
https://education.org/SubCluster/AnimalSystems	education.org.ai	SubCluster	AnimalSystems	agriculture/animal-systems	Animal Systems		agriculture	Agriculture	13	59	Animal Systems sub-cluster within Agriculture
https://education.org/SubCluster/FoodScience&Processing	education.org.ai	SubCluster	FoodScience&Processing	agriculture/food-science-processing	Food Science & Processing		agriculture	Agriculture	11	20	Food Science & Processing sub-cluster within Agriculture
https://education.org/SubCluster/PlantSystems	education.org.ai	SubCluster	PlantSystems	agriculture/plant-systems	Plant Systems		agriculture	Agriculture	19	66	Plant Systems sub-cluster within Agriculture
https://education.org/SubCluster/WaterSystems	education.org.ai	SubCluster	WaterSystems	agriculture/water-systems	water systems		agriculture	Agriculture	9	55	water systems sub-cluster within Agriculture
https://education.org/SubCluster/Design&DigitalArts	education.org.ai	SubCluster	Design&DigitalArts	arts-entertainment-design/design-digital-arts	Design & Digital Arts		arts-entertainment-design	Arts, Entertainment, & Design	10	20	Design & Digital Arts sub-cluster within Arts, Entertainment, & Design
https://education.org/SubCluster/Fashion&Interiors	education.org.ai	SubCluster	Fashion&Interiors	arts-entertainment-design/fashion-interiors	Fashion & Interiors		arts-entertainment-design	Arts, Entertainment, & Design	8	15	Fashion & Interiors sub-cluster within Arts, Entertainment, & Design
https://education.org/SubCluster/FineArts	education.org.ai	SubCluster	FineArts	arts-entertainment-design/fine-arts	Fine Arts		arts-entertainment-design	Arts, Entertainment, & Design	5	26	Fine Arts sub-cluster within Arts, Entertainment, & Design
https://education.org/SubCluster/Lighting&SoundTechnology	education.org.ai	SubCluster	Lighting&SoundTechnology	arts-entertainment-design/lighting-sound-technology	Lighting & Sound Technology		arts-entertainment-design	Arts, Entertainment, & Design	6	10	Lighting & Sound Technology sub-cluster within Arts, Entertainment, & Design
https://education.org/SubCluster/MediaProduction&Broadcasting	education.org.ai	SubCluster	MediaProduction&Broadcasting	arts-entertainment-design/media-production-broadcasting	Media Production & Broadcasting		arts-entertainment-design	Arts, Entertainment, & Design	19	64	Media Production & Broadcasting sub-cluster within Arts, Entertainment, & Design
https://education.org/SubCluster/PerformingArts	education.org.ai	SubCluster	PerformingArts	arts-entertainment-design/performing-arts	Performing Arts		arts-entertainment-design	Arts, Entertainment, & Design	18	53	Performing Arts sub-cluster within Arts, Entertainment, & Design
https://education.org/SubCluster/Architecture&CivilEngineering	education.org.ai	SubCluster	Architecture&CivilEngineering	construction/architecture-civil-engineering	Architecture & Civil Engineering		construction	Construction	12	29	Architecture & Civil Engineering sub-cluster within Construction
https://education.org/SubCluster/ConstructionPlanning&Development	education.org.ai	SubCluster	ConstructionPlanning&Development	construction/construction-planning-development	Construction Planning & Development		construction	Construction	6	36	Construction Planning & Development sub-cluster within Construction
https://education.org/SubCluster/EquipmentOperation&Maintenance	education.org.ai	SubCluster	EquipmentOperation&Maintenance	construction/equipment-operation-maintenance	Equipment Operation & Maintenance		construction	Construction	19	17	Equipment Operation & Maintenance sub-cluster within Construction
https://education.org/SubCluster/SkilledTrades	education.org.ai	SubCluster	SkilledTrades	construction/skilled-trades	Skilled Trades		construction	Construction	60	42	Skilled Trades sub-cluster within Construction
https://education.org/SubCluster/DataScience&Ai	education.org.ai	SubCluster	DataScience&Ai	digital-technology/data-science-ai	Data Science & AI		digital-technology	Digital Technology	6	51	Data Science & AI sub-cluster within Digital Technology
https://education.org/SubCluster/ItSupport&Services	education.org.ai	SubCluster	ItSupport&Services	digital-technology/it-support-services	IT Support & Services		digital-technology	Digital Technology	5	11	IT Support & Services sub-cluster within Digital Technology
https://education.org/SubCluster/NetworkSystems&Cybersecurity	education.org.ai	SubCluster	NetworkSystems&Cybersecurity	digital-technology/network-systems-cybersecurity	Network Systems & Cybersecurity		digital-technology	Digital Technology	8	26	Network Systems & Cybersecurity sub-cluster within Digital Technology
https://education.org/SubCluster/SoftwareSolutions	education.org.ai	SubCluster	SoftwareSolutions	digital-technology/software-solutions	Software Solutions		digital-technology	Digital Technology	6	30	Software Solutions sub-cluster within Digital Technology
https://education.org/SubCluster/Web&Cloud	education.org.ai	SubCluster	Web&Cloud	digital-technology/web-cloud	Web & Cloud		digital-technology	Digital Technology	9	28	Web & Cloud sub-cluster within Digital Technology
https://education.org/SubCluster/EarlyChildhoodDevelopment	education.org.ai	SubCluster	EarlyChildhoodDevelopment	education/early-childhood-development	Early Childhood Development		education	Education	5	9	Early Childhood Development sub-cluster within Education
https://education.org/SubCluster/EducationAdministration&Leadership	education.org.ai	SubCluster	EducationAdministration&Leadership	education/education-administration-leadership	Education Administration & Leadership		education	Education	7	29	Education Administration & Leadership sub-cluster within Education
