ns	type	id	name	description	code
onet.org.ai	WorkStyle	Achievementeffort	Achievement/Effort	Achievement/Effort	1.C.1.a
onet.org.ai	WorkStyle	Persistence	Persistence	Persistence	1.C.1.b
onet.org.ai	WorkStyle	Initiative	Initiative	Initiative	1.C.1.c
onet.org.ai	WorkStyle	Leadership	Leadership	Leadership	1.C.2.b
onet.org.ai	WorkStyle	Cooperation	Cooperation	Cooperation	1.C.3.a
onet.org.ai	WorkStyle	ConcernForOthers	Concern for Others	Concern for Others	1.C.3.b
onet.org.ai	WorkStyle	SocialOrientation	Social Orientation	Social Orientation	1.C.3.c
onet.org.ai	WorkStyle	SelfControl	Self-Control	Self-Control	1.C.4.a
onet.org.ai	WorkStyle	StressTolerance	Stress Tolerance	Stress Tolerance	1.C.4.b
onet.org.ai	WorkStyle	Adaptabilityflexibility	Adaptability/Flexibility	Adaptability/Flexibility	1.C.4.c
onet.org.ai	WorkStyle	Dependability	Dependability	Dependability	1.C.5.a
onet.org.ai	WorkStyle	AttentionToDetail	Attention to Detail	Attention to Detail	1.C.5.b
onet.org.ai	WorkStyle	Integrity	Integrity	Integrity	1.C.5.c
onet.org.ai	WorkStyle	Independence	Independence	Independence	1.C.6
onet.org.ai	WorkStyle	Innovation	Innovation	Innovation	1.C.7.a
onet.org.ai	WorkStyle	AnalyticalThinking	Analytical Thinking	Analytical Thinking	1.C.7.b
